ID_Satker,Jumlah_Penduduk_Terlayani_Ribu,Jumlah_Program_Kegiatan,Jumlah_Pegawai,Luas_Wilayah_km2,Realisasi_Anggaran_Tahun_Lalu_Juta,Jumlah_Unit_Kerja,Tingkat_Inflasi_Pct,Kebutuhan_Anggaran_Juta
SATK0087,100.9,12,80,15,10844,10,1.13,11889.0
SATK0088,128.4,15,63,135.3,7886,6,4.41,9174.2
SATK0089,134.9,22,35,174.9,4683,8,4.87,5628.4
SATK0090,23.0,8,91,257.8,5700,9,5.17,7052.2
SATK0091,92.8,25,62,279.0,10807,3,2.16,11664.2
SATK0092,13.0,26,60,395.0,5444,9,2.29,7190.3
SATK0093,205.3,10,89,145.9,2175,8,4.27,2912.4
SATK0094,202.5,19,115,103.3,19510,5,4.14,22053.1
SATK0095,120.4,14,22,579.7,12804,6,3.4,13140.1
SATK0096,79.3,19,77,250.4,11826,5,3.91,13084.2
SATK0097,128.8,21,62,477.8,11464,4,2.2,12566.5
SATK0098,15.1,20,39,15,4837,2,2.69,4881.7
SATK0099,150.3,20,61,170.0,10400,2,3.96,10915.6
SATK0100,57.7,21,91,325.6,8641,3,3.47,10132.3
SATK0101,127.5,11,30,485.9,3230,3,4.56,3541.0
SATK0102,149.2,21,68,405.7,5501,9,2.4,6561.6
SATK0103,21.6,26,134,332.1,6629,7,2.34,7169.1
SATK0104,91.6,19,55,186.2,14271,3,4.16,15432.8
SATK0105,58.5,15,27,298.6,13417,5,3.33,14081.8
SATK0106,114.6,28,17,86.3,4864,7,2.22,5651.6
SATK0107,54.9,17,79,15,4662,6,2.91,5295.8
SATK0108,35.0,32,43,196.6,11792,2,2.87,12855.7
SATK0109,112.9,21,31,259.3,14257,4,3.19,15649.8
SATK0110,83.0,30,42,225.0,8474,6,2.49,9875.9
SATK0111,65.7,14,108,306.0,9016,7,4.67,10457.5
SATK0112,70.1,12,48,646.0,7741,4,4.15,7941.6
SATK0113,110.7,10,48,265.5,7232,7,4.75,7997.1
SATK0114,170.7,13,72,242.5,15721,4,2.99,16990.8
SATK0115,171.3,16,24,15,11490,4,3.73,12586.1
SATK0116,115.9,24,8,224.1,9316,10,2.32,10491.6
SATK0117,125.0,11,59,15,7873,10,1.29,8281.6
SATK0118,95.6,13,55,266.1,6963,7,3.04,8259.9
SATK0119,180.6,17,61,278.2,8262,7,2.79,9778.8
SATK0120,163.3,10,42,149.7,1047,10,4.2,1704.1
SATK0121,76.8,24,12,308.5,10704,10,2.81,11418.4
SATK0122,254.1,21,102,207.3,5162,5,4.04,7220.4
SATK0123,80.4,22,42,456.1,15193,7,3.71,16673.9
SATK0124,5,28,140,309.2,4097,5,3.44,5952.2
SATK0125,184.8,25,68,195.1,11771,14,2.58,12995.8
SATK0126,185.6,28,57,98.8,2700,8,1.9,3771.1
SATK0127,91.9,24,109,442.1,16385,5,2.64,18228.8
SATK0128,12.0,27,27,255.4,11263,4,3.81,12112.8
SATK0129,99.4,26,43,394.7,13605,11,2.01,15149.3
SATK0130,191.0,17,33,92.5,13033,9,4.69,14186.4
SATK0131,101.1,4,50,351.4,4389,5,4.09,5195.6
SATK0132,113.6,4,38,93.4,14735,2,3.76,15970.7
SATK0133,150.7,15,122,119.8,7347,8,3.79,8361.3
SATK0134,69.1,19,8,15,12499,2,2.67,13335.9
SATK0135,70.1,14,75,207.5,800,8,3.48,1473.4
SATK0136,57.6,5,120,241.6,13226,7,3.09,14991.1
SATK0137,207.8,26,38,102.0,14095,6,3.06,15028.8
SATK0138,15.5,26,63,108.4,7879,3,2.51,8466.6
SATK0139,148.0,21,56,529.3,9049,5,3.75,10368.9
SATK0140,37.3,31,66,151.2,14286,8,5.31,15979.1
SATK0141,67.6,18,58,375.2,1555,7,2.76,1765.7
SATK0142,21.8,11,75,349.2,9784,8,2.61,10955.7
SATK0143,158.6,17,37,123.0,5504,7,3.13,5746.1
SATK0144,155.2,23,28,391.9,12056,6,2.72,13532.6
SATK0145,113.4,29,57,15,3815,8,3.68,4990.3
SATK0146,196.4,29,49,383.6,12440,4,3.85,14017.4
SATK0147,187.5,31,132,282.5,6877,8,3.34,8488.1
SATK0148,141.6,6,43,136.1,800,7,4.95,978.1
SATK0149,189.3,8,39,233.7,10954,10,2.8,12029.3
SATK0150,107.5,20,25,189.0,8498,2,3.57,9267.2
SATK0151,71.7,16,58,495.8,6586,3,3.25,7900.9
SATK0152,100.7,19,31,129.6,11453,7,3.39,12329.8
SATK0153,189.8,13,80,290.2,3902,4,1.87,4772.4
SATK0154,132.0,12,47,176.0,10398,7,3.65,11775.8
SATK0155,137.7,26,24,166.4,10407,5,4.64,11018.0
SATK0156,163.1,30,35,141.0,16543,6,2.17,17596.9
SATK0157,157.1,25,8,217.1,6225,11,3.21,7347.4
SATK0158,64.2,16,8,401.8,13904,5,1.95,15653.6
SATK0159,78.9,19,89,313.9,5550,11,1.73,6684.4
SATK0160,76.8,17,69,15,10217,9,2.62,11656.1
SATK0161,167.2,22,30,126.1,10481,7,3.4,10882.4
SATK0162,177.6,10,101,563.7,15506,6,3.66,16266.9
SATK0163,100.2,34,8,301.7,8167,7,2.68,9342.7
SATK0164,117.7,10,33,317.9,2384,8,0.81,3417.9
SATK0165,43.3,28,111,209.9,15972,6,3.65,17995.8
SATK0166,101.2,25,37,488.8,6360,9,3.44,7482.0
SATK0167,5,18,78,319.6,6651,9,2.98,7176.6
SATK0168,141.1,18,35,57.2,13371,4,2.92,14877.6
SATK0169,97.1,20,45,157.3,2039,10,3.65,2878.3
SATK0170,119.9,12,65,96.9,10487,7,2.98,11716.3
SATK0171,164.7,21,14,137.7,8627,9,3.14,9593.5
SATK0172,123.6,15,71,19.5,5551,11,4.19,6286.9
SATK0173,153.4,15,27,283.0,5626,9,2.96,6123.9
SATK0174,119.8,16,83,355.0,4870,8,4.49,5931.0
SATK0175,191.7,14,92,266.3,14223,7,3.78,14964.2
SATK0176,28.6,18,28,67.4,800,3,3.46,900
SATK0177,160.7,5,118,427.7,800,2,3.22,900
SATK0178,68.9,20,8,343.2,8547,2,4.62,9507.7
SATK0179,74.1,25,40,15,8145,6,3.09,9029.6
SATK0180,126.4,17,65,406.4,8822,8,2.75,9543.0
SATK0181,20.0,21,65,55.5,3333,10,3.63,3986.4
SATK0182,126.8,13,63,281.4,2036,3,3.45,2233.5
SATK0183,179.8,16,51,349.5,9978,8,2.42,11115.5
SATK0184,165.1,16,50,314.3,12898,4,3.74,13692.4
SATK0185,11.5,22,58,103.5,4709,7,3.5,5827.1
SATK0186,132.2,15,90,545.6,8635,5,3.22,9488.1
SATK0187,24.8,19,60,119.0,13732,13,3.52,14645.6
SATK0188,118.9,21,57,254.8,10499,4,3.84,11279.1
SATK0189,245.6,14,8,367.0,3316,15,4.56,4343.4
SATK0190,59.2,23,83,213.8,6609,4,3.73,7764.5
SATK0191,86.3,17,86,441.8,9123,5,3.91,9502.0
SATK0192,84.2,12,45,294.8,13946,11,4.97,14984.5
SATK0193,136.4,14,70,200.3,11762,8,2.67,13332.4
SATK0194,166.2,15,37,486.6,4374,11,5.38,5364.1
SATK0195,138.5,17,31,391.4,6392,6,5.54,7290.7
SATK0196,294.6,29,86,360.6,17813,5,2.62,19361.8
SATK0197,40.6,12,47,406.5,10932,5,2.62,11528.9
SATK0198,36.0,11,11,284.7,10778,5,3.31,11707.1
SATK0199,166.8,16,72,283.1,1268,9,3.82,2199.2
SATK0200,161.0,27,22,606.7,6325,3,1.18,6730.8
SATK0201,122.3,14,21,353.9,800,3,5.54,1450.8
SATK0202,103.5,19,66,340.1,9739,7,3.38,10582.3
SATK0203,79.9,26,33,264.0,3274,3,2.13,3721.6
SATK0204,141.4,28,46,228.6,7591,10,4.09,8498.6
SATK0205,162.0,15,72,87.6,2672,5,2.7,3126.7
SATK0206,94.9,18,31,411.0,11281,6,3.37,12617.0
SATK0207,187.8,24,43,542.4,7311,9,3.66,8294.8
SATK0208,175.6,12,8,464.3,11963,6,3.62,12654.1
SATK0209,233.2,19,35,411.5,14164,10,1.25,15246.8
SATK0210,87.1,22,95,189.9,7543,7,3.99,9060.6
SATK0211,20.7,9,60,163.9,14770,5,3.76,15613.4
SATK0212,285.1,14,41,558.9,18382,5,2.62,19736.1
SATK0213,121.7,18,60,441.1,5153,11,1.09,5418.7
SATK0214,187.0,21,95,469.1,9747,2,3.98,10820.9
SATK0215,142.8,8,45,312.2,9870,5,4.06,10692.3
SATK0216,148.1,16,55,15,11817,8,2.33,12370.7
SATK0217,154.9,18,55,314.7,5489,4,2.71,6034.3
SATK0218,201.7,26,49,266.2,18801,5,2.72,20456.8
SATK0219,188.4,17,71,203.6,3164,7,4.4,3643.5
SATK0220,152.5,7,62,319.1,15119,6,2.35,16050.4
SATK0221,190.6,10,100,15,3346,8,3.79,4036.3
SATK0222,110.9,12,60,428.6,1507,8,3.66,2147.9
SATK0223,222.0,26,62,425.2,3400,4,4.72,4668.9
SATK0224,96.9,9,75,125.8,800,5,2.1,1680.5
SATK0225,15.1,11,98,194.1,14657,9,2.15,16284.6
SATK0226,180.3,14,21,403.4,4450,10,4.06,4821.4
SATK0227,5,16,76,55.4,10156,2,4.6,11192.9
SATK0228,287.2,21,115,446.4,11329,2,3.69,12451.1
SATK0229,146.8,12,82,231.3,7672,6,0.5,8843.3
SATK0230,109.7,30,73,499.1,5207,5,2.37,6329.1
SATK0231,174.0,6,77,144.0,3504,3,3.61,3991.8
SATK0232,135.4,15,52,39.1,6968,9,3.62,8187.0
SATK0233,109.9,29,28,469.1,14984,3,4.14,16078.7
SATK0234,190.7,24,99,123.8,1973,4,2.12,2757.9
SATK0235,104.4,14,94,359.1,12280,4,3.05,13978.4
SATK0236,51.1,17,72,216.7,16949,5,3.9,18045.4
SATK0237,93.8,17,92,249.4,14486,7,2.76,15527.5
SATK0238,5,18,82,238.2,9984,10,3.24,11120.4
SATK0239,120.6,19,16,64.5,4105,8,2.17,4593.1
SATK0240,173.3,10,16,24.7,16394,5,2.36,16478.6
SATK0241,138.0,13,16,484.4,12647,5,1.47,14209.9
SATK0242,212.1,28,83,240.3,6705,6,5.11,7787.8
SATK0243,40.5,18,39,500.8,3301,4,2.88,3394.6
SATK0244,5,11,22,292.4,14904,7,2.02,15841.4
SATK0245,161.1,17,24,179.4,12890,7,3.62,13788.4
SATK0246,109.3,16,52,58.9,15865,5,2.91,16642.9
SATK0247,72.5,4,81,241.0,3656,7,2.75,4059.9
SATK0248,5,12,76,222.3,2404,5,3.15,3068.4
SATK0249,34.7,11,50,308.9,15145,6,1.45,16066.5
SATK0250,114.2,13,19,99.3,10222,7,2.44,10718.8
SATK0251,142.1,20,97,185.0,13229,5,1.78,14778.9
SATK0252,161.4,23,83,329.6,6546,2,2.5,7495.1
SATK0253,79.1,21,102,230.9,4986,10,2.98,5992.8
SATK0254,5,6,87,302.6,14675,12,3.1,15874.8
SATK0255,107.6,19,92,141.6,16127,2,3.78,17905.6
SATK0256,140.4,22,26,501.3,14194,4,1.13,14892.6
SATK0257,81.0,4,67,326.5,9469,5,4.53,10460.0
SATK0258,280.6,14,69,128.6,7927,8,3.76,9377.3
SATK0259,186.5,13,8,15,18294,3,4.45,19247.6
SATK0260,61.6,23,88,377.4,6737,8,3.33,8405.9
SATK0261,146.9,25,18,509.9,16225,4,4.65,17131.3
SATK0262,136.9,15,16,222.5,6637,9,1.99,7164.4
SATK0263,50.7,23,68,375.6,6169,7,4.29,6976.8
SATK0264,93.3,19,74,260.5,3279,5,2.02,5046.7
SATK0265,135.6,6,48,75.7,19529,8,2.69,21236.9
SATK0266,190.9,13,29,59.6,7633,6,2.97,8649.3
SATK0267,142.4,17,88,15,8606,3,3.66,9936.5
SATK0268,71.7,4,120,463.3,14540,4,3.87,15881.9
SATK0269,146.9,28,127,283.1,10877,10,3.3,12313.6
SATK0270,127.7,31,102,15,17396,6,1.75,19419.7
SATK0271,157.2,19,61,472.8,12479,4,1.22,13247.8
SATK0272,86.7,15,95,80.8,8024,10,2.22,9252.3
SATK0273,93.6,33,74,91.4,3893,4,1.86,5097.2
SATK0274,22.0,21,67,460.6,16268,10,2.5,17584.0
SATK0275,41.6,33,58,476.5,13111,5,2.32,14228.7
SATK0276,89.7,17,101,440.3,17223,2,1.98,18413.2
SATK0277,280.7,35,46,264.0,10139,11,3.95,11996.6
SATK0278,138.1,13,36,143.2,12786,9,5.68,14108.2
SATK0279,124.8,13,66,377.2,800,3,1.74,2063.8
SATK0280,177.3,15,73,455.3,6988,7,3.1,8069.5
SATK0281,138.6,22,42,114.9,10179,5,3.24,11599.4
SATK0282,83.5,17,70,238.6,7158,4,1.71,7891.3
SATK0283,198.4,32,49,310.7,11609,7,2.16,13116.6
SATK0284,166.7,7,76,323.0,4988,4,4.62,6018.9
SATK0285,259.5,9,45,153.5,5332,4,3.18,5548.6
SATK0286,71.1,14,93,237.5,11269,5,2.19,12268.6
SATK0287,181.4,26,96,598.9,18302,6,3.05,19932.2
SATK0288,133.3,14,14,308.8,5880,6,1.48,6883.5
SATK0289,19.4,31,33,324.2,8494,3,2.4,9559.5
SATK0290,87.5,24,57,149.6,9604,8,3.96,11344.3
SATK0291,67.6,10,91,139.2,9404,3,2.73,10151.7
SATK0292,141.2,21,45,146.4,12865,2,2.95,13835.3
SATK0293,138.2,27,76,373.1,6179,6,1.61,7337.2
SATK0294,41.7,25,53,495.7,6585,5,1.63,7752.8
SATK0295,143.2,25,8,309.2,16102,10,2.17,18033.7
SATK0296,33.1,11,92,91.6,9439,5,5.39,10505.1
SATK0297,249.5,22,35,547.9,9748,7,3.69,11458.2
SATK0298,20.1,30,11,109.0,2068,7,3.07,2809.9
SATK0299,5,12,78,376.8,2883,5,3.96,3928.4
SATK0300,5,22,36,15,15570,5,3.92,16995.3
SATK0301,121.3,14,39,349.7,9433,6,2.43,9698.5
SATK0302,204.2,14,86,539.1,19704,5,1.11,20847.5
SATK0303,265.6,17,75,283.9,7606,8,5.24,9624.7
SATK0304,146.5,8,86,218.5,6366,2,4.5,7461.2
SATK0305,123.8,17,84,151.4,13278,10,3.52,14833.6
SATK0306,5,16,8,271.3,12148,7,2.78,13341.6
SATK0307,101.6,19,60,15,7223,6,2.65,8051.5
SATK0308,217.0,17,59,220.6,1862,10,2.98,2715.5
SATK0309,69.0,8,32,482.2,13776,3,2.36,14832.8
SATK0310,224.5,14,27,193.8,7959,11,3.6,8815.6
SATK0311,89.2,13,45,245.9,12037,2,3.54,13050.8
SATK0312,91.7,21,77,15,9410,6,5.19,10573.2
SATK0313,186.5,11,83,424.9,12454,4,4.55,13188.3
SATK0314,148.1,20,54,154.1,8954,5,5.47,10450.7
SATK0315,243.9,18,61,297.8,12473,7,1.97,13575.1
SATK0316,187.6,38,45,190.8,7399,10,3.46,8450.2
SATK0317,123.1,19,69,339.0,12478,8,4.88,13612.9
SATK0318,111.9,15,70,371.9,11676,6,2.23,12383.7
SATK0319,53.2,13,53,404.3,12310,2,1.63,13110.2
SATK0320,172.2,17,60,195.2,12816,7,3.04,13492.0
SATK0321,131.8,15,64,15,16410,6,4.45,17951.1
SATK0322,177.4,15,41,45.0,12215,7,3.84,12965.7
SATK0323,116.1,10,9,250.5,2457,15,3.74,3498.2
SATK0324,183.0,20,27,286.5,16723,4,4.41,17878.8
SATK0325,181.9,13,91,444.7,8123,6,3.81,9412.5
SATK0326,218.8,17,56,264.9,10703,2,3.89,12153.7
SATK0327,132.6,21,47,304.0,8509,6,2.47,9620.7
SATK0328,204.9,16,65,421.5,8212,3,3.81,9108.1
SATK0329,144.1,18,71,236.6,6724,9,3.0,7948.4
SATK0330,238.4,14,56,262.2,8057,7,2.06,8612.5
SATK0331,87.8,20,77,338.7,7711,2,3.89,8395.4
SATK0332,144.8,18,31,300.9,10008,8,3.43,11677.1
SATK0333,60.4,32,112,204.7,3444,5,2.85,4645.2
SATK0334,163.0,22,8,15,9796,9,3.37,11376.5
SATK0335,41.4,19,96,271.8,15184,8,2.88,16414.2
SATK0336,25.1,19,119,15,8506,9,3.53,9061.7
SATK0337,113.6,22,66,207.2,9137,10,2.24,10783.6
SATK0338,80.9,18,56,380.4,15105,6,1.2,16088.2
SATK0339,12.8,4,48,206.3,8237,2,3.87,9494.6
SATK0340,94.9,30,11,378.9,12492,6,3.35,13593.2
SATK0341,51.2,8,90,329.6,11146,5,2.22,11823.2
SATK0342,21.9,11,79,325.1,7857,10,2.57,8834.5
SATK0343,241.0,31,103,461.9,4916,5,2.5,6546.8
SATK0344,26.3,15,42,130.3,5038,10,4.08,5850.8
SATK0345,36.8,14,68,216.0,8511,5,3.58,9453.3
SATK0346,169.4,25,80,209.7,9353,2,2.6,10735.8
SATK0347,120.4,10,25,198.8,6160,4,4.35,7363.4
SATK0348,150.0,11,109,468.8,8775,8,2.34,9522.2
SATK0349,247.4,22,61,293.6,9634,8,4.48,11390.6
SATK0350,58.2,18,62,26.7,16608,7,1.56,17855.7
SATK0351,91.1,10,99,299.9,10522,9,4.91,11716.3
SATK0352,61.5,15,74,196.5,10293,9,4.76,11096.0
SATK0353,102.5,27,42,244.0,10844,9,2.7,12200.4
SATK0354,117.7,22,58,285.4,3797,4,2.08,4506.0
SATK0355,128.1,20,77,17.2,11116,5,1.55,11952.9
SATK0356,172.2,9,102,69.1,8034,7,2.2,8734.3
SATK0357,159.9,14,34,241.0,9595,8,2.55,10859.4
SATK0358,99.0,7,31,289.1,9246,2,1.73,9978.6
SATK0359,149.0,8,71,227.0,9082,6,3.55,10055.8
SATK0360,175.9,18,93,250.0,7473,2,4.06,8688.8
SATK0361,6.6,4,59,105.3,7773,10,3.11,8647.4
SATK0362,148.2,21,8,343.0,18926,5,4.34,20514.2
SATK0363,238.7,14,111,15,10004,7,3.01,10861.2
SATK0364,201.6,11,59,281.7,7500,6,2.93,8162.0
SATK0365,65.5,22,91,286.9,6273,6,5.54,7370.4
SATK0366,21.9,4,94,84.6,8411,4,3.02,9780.1
SATK0367,164.0,17,40,15,10351,6,1.2,11009.4
SATK0368,18.3,14,72,20.4,8826,4,4.09,9906.9
SATK0369,157.7,10,15,481.0,8164,3,2.52,9287.0
SATK0370,43.1,23,8,559.4,9276,5,2.12,9386.4
SATK0371,87.8,12,72,234.7,8951,7,4.61,9712.4
SATK0372,37.0,21,33,15,3420,11,3.81,4122.5
SATK0373,66.0,26,58,15,800,3,3.74,900
SATK0374,16.3,26,127,15,3758,5,2.45,4610.3
SATK0375,5,13,57,22.8,10225,3,2.24,11647.0
SATK0376,5,30,8,209.8,9808,8,1.66,10982.0
SATK0377,198.6,24,8,331.7,11300,5,5.15,12321.2
SATK0378,86.6,18,67,295.7,12185,5,1.49,13596.7
SATK0379,89.5,17,63,219.9,11243,6,3.95,12865.4
SATK0380,168.2,20,90,202.4,6142,8,2.9,6896.1
SATK0381,83.6,21,24,336.9,2841,6,4.43,3584.4
SATK0382,180.2,19,106,295.1,11848,4,2.72,13061.5
SATK0383,83.3,9,13,571.9,7943,6,4.43,8735.3
SATK0384,186.0,14,48,233.1,7852,2,4.27,8527.7
SATK0385,119.7,13,68,246.0,6138,10,3.67,6858.5
SATK0386,111.5,19,101,465.8,11029,2,1.98,12282.5
SATK0387,14.7,20,8,470.6,8191,5,1.74,8576.2
SATK0388,5,19,55,336.1,7989,8,3.69,9016.4
SATK0389,144.3,14,57,251.4,10314,2,4.77,10950.7
SATK0390,162.8,19,36,441.9,10832,5,1.59,11960.0
SATK0391,147.5,16,92,439.0,14466,5,2.23,15856.7
SATK0392,115.5,17,14,213.6,7587,5,2.32,8341.4
SATK0393,51.4,15,81,296.6,13016,5,1.19,14547.0
SATK0394,239.0,10,73,311.5,2989,4,0.5,4061.2
SATK0395,81.7,22,108,358.0,10832,8,2.46,11978.6
SATK0396,142.5,21,59,228.5,16371,8,4.44,18075.1
SATK0397,112.0,18,72,194.4,16848,4,3.43,17934.2
SATK0398,41.1,19,84,336.6,5242,4,3.41,5901.0
SATK0399,178.4,24,67,206.9,800,5,2.44,1419.1
SATK0400,122.9,5,46,331.8,8876,7,1.18,9939.1
SATK0401,123.2,16,27,15,4246,8,4.43,4527.4
SATK0402,187.4,25,76,15,4410,3,4.02,5730.4
SATK0403,91.8,30,53,265.4,10733,6,3.68,11731.3
SATK0404,77.6,13,34,354.2,12509,2,2.75,13799.7
SATK0405,92.0,23,94,192.9,2125,9,2.56,2500.5
SATK0406,204.6,14,39,83.9,7071,6,2.19,7904.6
SATK0407,21.7,17,60,368.5,8505,8,2.25,9371.7
SATK0408,246.7,9,35,194.0,6084,10,2.07,6840.7
SATK0409,113.6,25,32,34.2,10904,5,3.31,11612.7
SATK0410,94.5,12,35,214.9,10766,3,4.02,12127.6
SATK0411,191.1,11,75,504.8,10385,5,2.43,11084.2
SATK0412,122.2,26,55,442.7,6538,6,2.54,7287.9
SATK0413,245.4,15,62,248.8,12929,11,4.29,14048.7
SATK0414,212.5,17,53,441.4,9457,7,0.5,10853.2
SATK0415,54.2,14,49,299.4,10788,8,3.32,11641.4
SATK0416,152.3,13,37,214.4,11167,2,2.91,11835.8
SATK0417,190.2,12,87,258.4,6426,5,2.48,7454.8
SATK0418,53.0,12,56,439.2,10394,5,2.29,11176.7
SATK0419,143.8,30,69,160.0,800,2,4.72,1889.4
SATK0420,175.0,17,47,255.8,10794,5,2.56,11840.3
SATK0421,142.8,22,77,319.2,6871,9,2.32,7689.1
SATK0422,127.3,21,101,366.7,2098,7,2.06,3278.3
SATK0423,56.2,24,52,557.1,1066,6,2.24,1640.1
SATK0424,23.2,18,82,75.8,4103,9,1.83,4589.4
SATK0425,31.4,27,67,375.6,6184,7,3.0,7353.1
SATK0426,56.3,13,129,303.3,9259,10,1.31,10600.0
SATK0427,70.7,22,34,368.5,7408,2,3.91,8334.6
SATK0428,129.0,25,94,246.9,13321,10,2.29,14318.6
SATK0429,169.9,5,88,231.4,9131,5,3.62,10038.9
SATK0430,112.4,16,121,416.1,5413,7,3.76,6243.9
SATK0431,163.6,15,46,418.4,9226,7,4.72,10376.4
SATK0432,157.1,4,77,216.5,800,4,3.84,1230.2
