Kode_transaksi,makan_pagi,makan_siang,makan_malam,snack,minum,transport,parkir,pulsa,internet,listrik,air,sewa,alat_tulis,buku,software,bensin,service_motor,service_laptop,donasi,tabungan
TRX140,1,1,1,1,1,,,,1,,,,1,,,,,,,
TRX141,1,,,,,1,,1,1,,1,1,,1,,,1,,,1
TRX142,1,,,,1,,,1,1,1,,,1,,,1,,,,1
TRX143,,,,1,1,,,,1,1,1,,,,,,1,,,
TRX144,1,,1,,1,,1,,1,1,,,1,1,1,1,1,1,1,1
TRX145,,,1,1,,,,1,,,,,,,,,,,,
TRX146,,,,,,,,,1,,,,,,,1,1,,1,1
TRX147,1,,,,1,,,,,1,,,,,,1,1,1,1,1
TRX148,1,1,,1,1,1,,,,,1,,1,1,1,1,,,,1
TRX149,1,,,,1,,,,1,,,,,1,,1,1,1,1,1
TRX150,,,,,,,1,1,,,,,,,,,1,1,1,
TRX151,1,,,,1,1,1,,1,1,,,,,,,,,,
TRX152,,,,,,1,1,1,1,1,,,,,,,,,,
TRX153,1,,,,1,1,1,,1,1,,,,,,1,,,,1
TRX154,1,,1,1,,,,,,,,,,,,1,,,,1
TRX155,,,,1,,,,1,1,,,,1,,,1,1,,,1
TRX156,1,1,,,,,,1,1,,1,,1,1,,,1,,,1
TRX157,,,1,,1,,,,1,,1,1,,,1,,,,,1
TRX158,,,,,,,,,1,,1,,1,,,1,1,1,1,1
TRX159,1,,,,1,,,1,1,,1,,1,1,1,,1,,,1
TRX160,1,,,,1,,,1,,1,,1,,,,1,1,1,1,
TRX161,,,1,1,1,,,1,,,,,,,,,,,,
TRX162,1,,,1,,,,1,,,1,,,1,,1,1,,,1
TRX163,1,,,1,1,1,1,1,1,1,,,,,,,,,,
TRX164,1,,1,1,1,,,1,,,,1,,1,1,,1,,1,
TRX165,,1,1,,1,1,1,1,1,1,,1,,,,1,,,,1
TRX166,1,1,1,1,1,,,,1,1,,,,,,,,,,
TRX167,,,,,1,1,,,,,1,,1,,,1,1,1,1,
TRX168,1,,,,,,1,1,,1,,,1,1,,,,,,
TRX169,1,1,1,1,1,,,1,1,,,,,,,1,,,,1
TRX170,,,,1,1,,,,,,,,1,1,,1,1,1,1,1
TRX171,1,1,,,,1,,1,,,1,1,,1,,1,1,,,
TRX172,1,1,1,1,1,,,,1,,,,,,,,,,,
TRX173,,,,,1,,,1,1,,1,1,,1,,,1,,,1
TRX174,,,1,,1,1,1,1,1,1,,,,1,,,,,,
TRX175,1,,,,,1,,1,1,1,,,1,,,1,,,,1
TRX176,1,1,,1,1,,,,,,,,,,,1,,,,1
TRX177,1,1,1,,1,,,1,1,,,,,,,,,,,
TRX178,1,1,,1,1,1,1,1,1,,,,,,,,,,,
TRX179,1,1,,1,1,,,,,,,,,,,,,,,
TRX180,1,,,,,,,1,,1,,,1,,,1,1,1,1,1
TRX181,1,,,1,,,,1,1,,1,,1,1,1,1,1,,,1
TRX182,1,1,1,1,1,,,,,,,,1,,,,,,,
TRX183,1,1,1,1,1,,,,,1,,,,,,1,,,,1
TRX184,1,,,,,1,1,,1,,,,1,,,1,,,,1
TRX185,,,1,,1,,,1,1,,,1,,1,1,1,,,,1
TRX186,1,,,,1,1,1,1,1,1,,,1,,,,,,,1
TRX187,,,1,,,1,1,1,1,1,,,1,,,,,,,
TRX188,,1,1,1,1,,,,1,,,,1,,,,,,,
TRX189,1,,,1,,,,1,,,1,,,1,,1,1,,1,
TRX190,1,1,,,1,1,1,1,1,1,,,,,,,,,,
TRX191,1,,,,1,,,,1,,1,1,1,1,1,,,1,,
TRX192,1,,,,1,,,,1,,1,,1,,,1,1,1,1,1
TRX193,1,,,,1,1,1,1,1,1,,1,,,,1,1,1,,1
TRX194,1,,,,,1,1,1,1,1,1,,,,,,,,,1
TRX195,,,1,,,1,1,1,1,1,1,1,,,,,,,,
TRX196,1,1,,1,,,,1,,,,,,,,,,,,
TRX197,1,,,,,1,1,1,1,1,,,,,,,,,,1
TRX198,,,,,,1,,1,1,1,1,,,,,,,,,
TRX199,1,,,1,1,,,1,,,1,,,1,,,,,,1
TRX200,1,1,1,1,,1,,,1,,,,1,,,1,,,,1
TRX201,1,,,,1,,1,1,1,1,,,1,,1,1,,,,1
TRX202,1,,,,,1,,,,,,,,1,,1,1,,1,1
TRX203,1,1,,1,1,,,,,,,,1,,,1,,,,1
TRX204,1,1,1,1,1,,,,,1,,,,,,1,,,,1
TRX205,1,,1,1,,,,1,1,,,,,1,,1,1,,,1
TRX206,1,1,1,1,1,,,1,1,1,,,,,,1,,,,
TRX207,1,1,1,,1,,,,1,,,,,,,,,,,
TRX208,,,,,,,,,1,1,,,,1,,1,1,1,,1
TRX209,1,1,,1,1,1,,,,,,,,,,1,,,,1
TRX210,1,,,,1,1,1,,1,1,,,1,,,,,,,
TRX211,,,,,,,,,1,,1,1,1,1,1,,,,,1
TRX212,1,,,,1,1,1,1,1,,,,,,,,,,,
TRX213,,,,1,1,1,,,1,,,,,1,1,1,,,,1
TRX214,1,,,,,,,,,1,,,,,,1,,1,1,1
TRX215,1,,,1,,,,1,,1,1,,1,1,,1,1,,,1
TRX216,,,,,,,,,1,,1,,1,,,1,1,1,1,
TRX217,1,1,1,,1,1,,,,,,,,,,1,,,,1
TRX218,1,,,1,,,,1,,,1,1,1,,,,1,,,1
TRX219,1,,,1,,,1,,,,1,,1,1,1,1,1,1,1,1
TRX220,,1,,1,,1,1,1,1,1,,,,,,,,,,
TRX221,,,,,,,,,,1,1,,,1,,1,1,1,1,1
TRX222,1,,,,1,1,1,1,1,1,1,,,,,1,,,,1
TRX223,1,,1,,1,,,1,1,,1,,1,1,1,1,,,,
TRX224,1,1,1,1,,,,,1,,,,1,,,1,,,,
TRX225,1,1,1,1,1,,,1,,,,,,,,1,,,,1
TRX226,,,,,1,,,,,,,,,1,,,1,,,
TRX227,1,1,1,1,1,,,,,1,,,,,,1,,,,1
TRX228,1,,1,1,,,,1,1,1,,,,,,,,,,1
TRX229,,,1,1,,1,1,1,1,1,1,,,1,,,,,,
TRX230,1,1,,1,1,,,,1,,,,,,,,,,,
TRX231,1,,,,,1,,,1,,1,,1,1,,1,1,1,,1
TRX232,,1,1,1,,1,1,,1,1,1,1,,1,1,,,,,
TRX233,,,,,1,1,1,1,1,,,1,1,,,1,1,1,,1
TRX234,,,,,,1,,1,1,1,1,,,,,1,,,,1
TRX235,,,,,,,,,1,,,,,,,1,1,1,1,1
TRX236,1,,,,1,,,1,,,1,1,,,,,,,1,
TRX237,,,,,1,1,1,1,1,,,,1,,1,,,,,
TRX238,1,,1,1,1,,,,,,,,,,,1,,,,1
TRX239,1,,,1,,,,,,1,,,,,,1,,,,1
TRX240,1,,,,,1,1,1,1,1,,,1,,,1,,,,1
TRX241,1,,,1,,,,,,,,,1,1,,1,1,1,1,1
TRX242,,,1,1,,1,,,1,1,,,,,1,,,,,1
TRX243,,,1,,1,,1,1,1,1,,,1,,,,,,,
TRX244,1,1,,,,,,,,,,1,1,1,1,,,,,1
TRX245,1,,,,1,,,,,1,1,,,,,1,1,1,,1
TRX246,1,1,,1,1,1,,1,,,1,,,1,,1,1,,1,1
TRX247,1,1,1,1,,1,,,1,,,,,,,,,,,
TRX248,1,1,1,1,1,,,,1,,,,,,,,,,,
TRX249,1,,,,1,,1,,,1,,,,1,,1,,1,1,1
TRX250,1,,,1,,1,,1,,,1,1,1,1,,,1,,1,
TRX251,,,,,1,,1,,1,1,1,,1,,,,1,,,
TRX252,1,,,1,,,1,1,1,1,,,,,,1,,,,1
TRX253,,,1,,,,,1,,,,,,,1,1,1,,,1
TRX254,1,,,,1,1,,,1,1,1,1,,1,1,1,1,,1,
TRX255,,1,1,,1,1,1,1,,,,1,,,,1,1,1,1,1
TRX256,1,1,,,1,1,1,1,1,1,,,,,1,1,,,,1
TRX257,,1,1,,1,,1,,,1,,1,1,1,1,,1,,1,
TRX258,1,,,,,,1,1,1,,1,,1,,,1,1,1,1,1
TRX259,1,1,1,1,1,,,,1,,,,1,,,1,,,,1
TRX260,1,,,1,1,1,,1,1,1,,,1,,,1,1,1,1,1
TRX261,1,,1,,1,,,,1,1,,,,,1,1,1,1,1,1
TRX262,1,1,,1,1,,,,1,,,,,,,,,,,
TRX263,,,,,,1,1,1,,1,,,1,,,1,,,,
TRX264,1,,,1,1,1,,1,1,,1,,1,1,,,1,,,1
TRX265,1,,,1,1,,,1,,,1,,,1,,,1,,1,1
TRX266,1,,,,,,,,,,1,1,1,1,1,1,,,,
TRX267,1,,,1,1,,,1,1,,1,1,1,1,,1,1,,,
TRX268,1,,,1,1,1,1,1,1,1,,,,1,,,,,,
TRX269,1,,,1,,,,1,1,,1,1,1,1,,1,1,1,1,1
TRX270,,1,1,1,1,,1,1,1,,,,1,,,,,,,
TRX271,,,1,,,1,,1,,1,,,,,,,,,,
TRX272,1,,,1,,,,,1,,1,1,1,1,1,,,,,
TRX273,1,,,,1,1,1,,1,1,,1,1,1,,,,,,
TRX274,1,,,1,,,,,,,,1,,,1,1,1,1,,1
TRX275,1,,,1,,1,,1,,1,1,,,,,1,1,,,1
TRX276,,1,1,1,,,,,,,,,,,,,,,,
TRX277,,1,,,,1,,1,1,1,,,1,,1,,,,,
TRX278,1,1,,,1,,1,1,,,,1,,1,1,1,1,1,,1
TRX279,1,,,1,1,1,1,1,,1,,1,,,,,,,,
TRX280,1,,,,,,1,1,1,1,,1,,1,,,1,,,1
TRX281,1,,,,,,,1,1,,,,,,1,1,1,1,1,1
TRX282,,,,,,1,,,1,,1,1,,1,,1,,1,1,1
TRX283,1,1,,,1,1,1,,1,,,,,1,,,,,,
TRX284,1,1,,,,,1,,1,,1,1,,1,1,,1,,,
TRX285,1,,,,1,1,1,1,1,1,1,,,,,1,,,,1
TRX286,,,,1,,,,,,,1,1,1,,1,1,,,,1
TRX287,1,,,1,,1,,1,,,1,,1,1,1,,1,,,1
TRX288,,,,,1,,,,,,1,1,1,1,1,,,,1,
TRX289,,,1,,1,1,1,1,1,1,,,,,,,,,,
TRX290,,1,1,,1,,,,1,,,,,,,1,,,,1
TRX291,1,,1,,1,,,,1,,1,1,,,1,1,,,,1
TRX292,1,1,1,1,1,,,,,,,,,,,,,,,
TRX293,1,,,,1,,1,,,1,1,1,1,1,,1,,,,1
TRX294,1,1,,1,,1,,,,,,,1,,,1,,,,1
TRX295,,,,,,,,1,,,1,1,1,1,1,1,,,,1
TRX296,1,1,,,1,,,,1,1,1,1,,1,,,,,,1
TRX297,1,1,,,,1,1,1,1,1,1,,,,,,,,,
TRX298,1,1,1,1,1,,1,,1,1,,,,,,1,,,,1
TRX299,,,,,,,,,,,1,1,1,1,,,,,,
TRX300,1,1,1,1,1,1,,,,,,,,,,,,,,
TRX301,1,,,,1,1,1,1,1,1,,,,,,1,,,,1
TRX302,1,,,,,1,1,1,,1,,,,,,1,,,,1
TRX303,1,1,,1,,,1,,1,,,,,,,,,,,
TRX304,1,1,1,,1,1,,,,,,,,,,,,,,
TRX305,,,1,,,1,,,,,1,1,1,1,1,,,,,
TRX306,1,1,1,1,1,,,1,1,,,,,,,,,,,
TRX307,1,,1,1,1,1,1,1,1,1,,,1,1,,,,,,
TRX308,1,1,1,,1,1,1,,1,,,,1,,1,1,1,1,1,1
TRX309,,,1,,,,,1,,1,,,1,,1,1,,1,1,1
TRX310,,,,1,1,,1,1,,1,,,,,,1,1,1,1,1
TRX311,,,1,1,1,,,1,,1,,,,,,,,,,1
TRX312,,,,,1,1,1,1,,1,,,1,,1,,,,,1
TRX313,1,1,,1,1,1,,,,,,,,,,,,,,
TRX314,1,,1,1,,,,1,1,,,,,,,1,,,,1
TRX315,1,,,,1,1,,,1,,,,1,,1,1,1,1,1,1
TRX316,1,1,1,,,,,,1,,,,1,,,,,,,
TRX317,1,,,,,1,,,1,,1,,,,,1,1,,1,1
TRX318,1,,,,,1,1,,1,1,,,,,,,,,,
TRX319,1,1,1,1,1,,,,1,,,,1,,,1,,,,1
TRX320,1,,,1,1,,,1,,1,,,1,,,,1,1,1,
TRX321,1,,,1,1,1,,1,,,1,,,1,,,1,,,
TRX322,1,,,1,,,,1,1,1,1,,,,1,1,1,,1,1
TRX323,1,1,1,,1,,,,,,,,,,,,,,,
TRX324,,,,1,1,1,,1,,1,1,,,1,,,1,,,1
TRX325,1,,,,,,1,,1,1,1,,1,1,,1,1,,,1
TRX326,1,,1,,1,,,,,,1,1,1,1,1,,1,,,
TRX327,1,,1,1,1,,1,1,1,,1,1,1,1,,1,,,1,1
TRX328,,1,,1,1,1,,,,,,,,,,1,,,,1
TRX329,1,1,,1,,,,,,,,,1,,,,,,,
TRX330,1,,,,1,,,,1,,,1,1,,1,,,,,1
TRX331,1,,,,,,1,,,,1,,,1,,1,1,1,1,1
TRX332,1,,,,,,,,,,1,1,,1,1,,,,,
TRX333,1,,1,1,,,1,1,1,1,1,,,1,,1,1,,,1
TRX334,,,,1,1,,1,,,,,,1,,1,,1,,1,1
TRX335,1,1,,1,1,,,1,1,,1,,1,1,,1,1,,,
TRX336,1,,,,,,,1,1,,1,,1,,,1,,1,1,
TRX337,1,,,1,,,,1,1,,1,,,1,1,1,1,,,1
TRX338,,,1,,,1,1,1,1,1,,,1,,,,,,,
TRX339,1,1,,,1,,,,,,,1,,,,1,1,1,,1
TRX340,1,,,,1,,,,1,,,1,1,,,1,1,1,1,1
TRX341,,,,1,,,1,,1,,1,1,1,1,,,,,,
TRX342,1,,,1,1,1,,1,,,1,,,1,,,,,1,1
TRX343,,,,,1,,1,,1,,,1,,1,1,,,1,1,
TRX344,1,,,1,1,1,,1,1,,1,1,1,1,,,1,,,
TRX345,1,,,,1,,,,1,,1,1,1,1,1,,,,,
TRX346,1,,,1,,1,,1,1,,,,,,,1,1,1,1,1
TRX347,,,,,1,1,1,1,1,1,1,,1,,1,,,,,
TRX348,1,,,,,1,1,,,1,,,1,,,,,,,
TRX349,,1,1,1,1,,1,,1,,,,,,,1,,,,1
TRX350,1,,,1,1,,,1,,,1,1,1,1,1,,,,,
