tanggal,nilai_tukar_Rp_per_USD
2025-01-10,15332.01
2025-01-11,15455.88
2025-01-12,15255.82
2025-01-13,15582.55
2025-01-14,15458.73
2025-01-15,15405.27
2025-01-16,15287.00
2025-01-17,15509.66
2025-01-18,15484.12
2025-01-19,15426.63
2025-01-20,15476.84
2025-01-21,15683.24
2025-01-22,15480.82
2025-01-23,15600.19
2025-01-24,15611.87
2025-01-25,15535.46
2025-01-26,15673.67
2025-01-27,15464.61
2025-01-28,15335.49
2025-01-29,15550.71
2025-01-30,15299.04
2025-01-31,15398.15
2025-02-01,15392.26
2025-02-02,15283.73
2025-02-03,15232.32
2025-02-04,15146.12
2025-02-05,15404.66
2025-02-06,15266.01
2025-02-07,15573.60
2025-02-08,15450.51
2025-02-09,15436.53
2025-02-10,15359.05
2025-02-11,15355.93
2025-02-12,15397.08
2025-02-13,15414.04
2025-02-14,15605.23
2025-02-15,15637.07
2025-02-16,15730.35
2025-02-17,15613.00
2025-02-18,15495.84
2025-02-19,15596.88
2025-02-20,15793.70
2025-02-21,15621.49
2025-02-22,15632.48
2025-02-23,15746.89
2025-02-24,15705.53
2025-02-25,15550.71
2025-02-26,15633.63
2025-02-27,15623.81
2025-02-28,15519.94
2025-03-01,15376.72
2025-03-02,15581.66
2025-03-03,15774.29
2025-03-04,15566.90
2025-03-05,15402.73
2025-03-06,15272.63
2025-03-07,15445.39
2025-03-08,15486.03
2025-03-09,15397.90
2025-03-10,15428.97
2025-03-11,15306.49
2025-03-12,15418.37
2025-03-13,15320.40
2025-03-14,15182.93
2025-03-15,15282.28
2025-03-16,15393.21
2025-03-17,15310.50
2025-03-18,15366.92
2025-03-19,15568.57
2025-03-20,15339.37
2025-03-21,15435.45
2025-03-22,15438.10
2025-03-23,15585.19
2025-03-24,15519.58
2025-03-25,15152.71
2025-03-26,15402.09
2025-03-27,15429.96
2025-03-28,15318.26
2025-03-29,15452.31
2025-03-30,15516.26
2025-03-31,15411.83
2025-04-01,15363.67
2025-04-02,15544.32
2025-04-03,15381.68
2025-04-04,15221.61
2025-04-05,15397.92
2025-04-06,15347.57
2025-04-07,15352.29
2025-04-08,15304.08
2025-04-09,15249.39
2025-04-10,15484.81
2025-04-11,15409.50
2025-04-12,15174.99
2025-04-13,15284.58
2025-04-14,15429.36
2025-04-15,15258.11
2025-04-16,15378.05
2025-04-17,15481.51
2025-04-18,15330.19
2025-04-19,15341.94
2025-04-20,15357.48
2025-04-21,15520.32
2025-04-22,15495.92
2025-04-23,15361.76
2025-04-24,15357.53
2025-04-25,15458.67
2025-04-26,15381.08
2025-04-27,15469.24
2025-04-28,15456.22
2025-04-29,15593.65
2025-04-30,15207.73
2025-05-01,15395.07
2025-05-02,15235.25
2025-05-03,15250.95
2025-05-04,15170.06
2025-05-05,15426.50
2025-05-06,15557.00
2025-05-07,15366.40
2025-05-08,15349.95
2025-05-09,15190.73
2025-05-10,15253.86
2025-05-11,15419.43
2025-05-12,15335.41
2025-05-13,15286.73
2025-05-14,15398.08
2025-05-15,15297.08
2025-05-16,15157.91
2025-05-17,15433.55
2025-05-18,15345.88
2025-05-19,15685.43
2025-05-20,15306.06
2025-05-21,15456.17
2025-05-22,15568.83
2025-05-23,15339.51
2025-05-24,15461.95
2025-05-25,15593.37
2025-05-26,15439.48
2025-05-27,15311.73
2025-05-28,15383.65
2025-05-29,15486.73
2025-05-30,15528.12
2025-05-31,15283.85
2025-06-01,15416.07
2025-06-02,15494.14
2025-06-03,15396.64
2025-06-04,15344.49
2025-06-05,15250.90
2025-06-06,15450.55
2025-06-07,15445.03
2025-06-08,15511.28
2025-06-09,15410.79
2025-06-10,15428.52
2025-06-11,15555.85
2025-06-12,15361.11
2025-06-13,15302.81
2025-06-14,15530.46
2025-06-15,15518.07
2025-06-16,15438.63
2025-06-17,15490.08
2025-06-18,15376.39
2025-06-19,15449.65
2025-06-20,15644.12
2025-06-21,15442.25
2025-06-22,15672.83
2025-06-23,15615.46
2025-06-24,15571.72
2025-06-25,15601.75
2025-06-26,15522.09
2025-06-27,15575.62
2025-06-28,15421.39
2025-06-29,15568.47
2025-06-30,15467.24
2025-07-01,15546.33
2025-07-02,15510.88
2025-07-03,15471.68
2025-07-04,15432.99
2025-07-05,15451.62
2025-07-06,15425.04
2025-07-07,15317.90
2025-07-08,15570.93
2025-07-09,15555.57
2025-07-10,15543.15
2025-07-11,15503.61
2025-07-12,15615.91
2025-07-13,15462.81
2025-07-14,15730.18
2025-07-15,15743.44
2025-07-16,15482.50
2025-07-17,15586.24
2025-07-18,15519.49
2025-07-19,15610.28
2025-07-20,15773.39
2025-07-21,15746.96
2025-07-22,15707.40
2025-07-23,15361.29
2025-07-24,15676.39
2025-07-25,15496.60
2025-07-26,15549.70
2025-07-27,15766.90
2025-07-28,15477.15
2025-07-29,15547.56
2025-07-30,15592.71
2025-07-31,15479.41
2025-08-01,15498.87
2025-08-02,15277.03
2025-08-03,15441.00
2025-08-04,15477.58
2025-08-05,15595.08
2025-08-06,15510.10
2025-08-07,15670.23
2025-08-08,15614.84
2025-08-09,15651.42
2025-08-10,15725.75
2025-08-11,15563.06
2025-08-12,15504.26
2025-08-13,15650.09
2025-08-14,15650.98
2025-08-15,15757.51
2025-08-16,15940.69
2025-08-17,15613.68
2025-08-18,15693.17
2025-08-19,15761.50
2025-08-20,15794.38
2025-08-21,15891.00
2025-08-22,15759.32
2025-08-23,15700.98
2025-08-24,15793.16
2025-08-25,15641.27
2025-08-26,15724.24
2025-08-27,15699.96
2025-08-28,15850.55
2025-08-29,15652.96
2025-08-30,15548.65
2025-08-31,15823.65
2025-09-01,15565.30
2025-09-02,15628.47
2025-09-03,15578.59
2025-09-04,15467.38
2025-09-05,15584.09
2025-09-06,15728.77
2025-09-07,15750.27
2025-09-08,15667.84
2025-09-09,15642.49
2025-09-10,15695.53
2025-09-11,15892.27
2025-09-12,15614.85
2025-09-13,15799.77
2025-09-14,15704.04
2025-09-15,15999.59
2025-09-16,15688.10
2025-09-17,15784.92
2025-09-18,15874.06
2025-09-19,15775.78
2025-09-20,15879.80
2025-09-21,15929.27
2025-09-22,15656.58
2025-09-23,15682.85
2025-09-24,15681.35
2025-09-25,15588.46
2025-09-26,15630.66
2025-09-27,15566.36
2025-09-28,15640.70
2025-09-29,15665.85
2025-09-30,15860.75
2025-10-01,15653.24
2025-10-02,15560.24
2025-10-03,15646.00
2025-10-04,15594.56
2025-10-05,15687.23
2025-10-06,15488.45
2025-10-07,15472.86
2025-10-08,15750.38
2025-10-09,15781.63
2025-10-10,15664.75
2025-10-11,15571.62
2025-10-12,15806.00
2025-10-13,15890.46
2025-10-14,15859.48
2025-10-15,15919.27
2025-10-16,15950.18
2025-10-17,15919.77
2025-10-18,16028.56
2025-10-19,15928.46
2025-10-20,16028.21
2025-10-21,16172.33
2025-10-22,16113.85
2025-10-23,15908.97
2025-10-24,15944.77
2025-10-25,15939.92
2025-10-26,15756.16
2025-10-27,15716.83
2025-10-28,16046.73
2025-10-29,16024.89
2025-10-30,15682.86
2025-10-31,15774.97
2025-11-01,15732.79
2025-11-02,15633.21
2025-11-03,15712.77
2025-11-04,15919.72
2025-11-05,15871.54
2025-11-06,15906.04
2025-11-07,15959.79
2025-11-08,15909.78
2025-11-09,15959.73
2025-11-10,15784.76
2025-11-11,15963.21
2025-11-12,16042.16
2025-11-13,15831.93
2025-11-14,15928.71
2025-11-15,15954.56
2025-11-16,15960.19
2025-11-17,15850.97
2025-11-18,16118.08
2025-11-19,16064.99
2025-11-20,15900.91
2025-11-21,15924.61
2025-11-22,16021.06
2025-11-23,15838.54
2025-11-24,16065.32
2025-11-25,15941.96
2025-11-26,15783.01
2025-11-27,15762.44
2025-11-28,15827.39
2025-11-29,15825.52
2025-11-30,15903.97
2025-12-01,15961.99
2025-12-02,15901.87
2025-12-03,15757.21
2025-12-04,15974.61
2025-12-05,15927.79
2025-12-06,15954.44
2025-12-07,16041.19
2025-12-08,15861.71
2025-12-09,15930.66
2025-12-10,16071.81
2025-12-11,16016.18
2025-12-12,16095.09
2025-12-13,15963.78
2025-12-14,16101.30
2025-12-15,16057.88
2025-12-16,16226.90
2025-12-17,16043.50
2025-12-18,15974.88
2025-12-19,16042.72
2025-12-20,16128.69
2025-12-21,16032.73
2025-12-22,15877.82
2025-12-23,15863.42
2025-12-24,16026.52
2025-12-25,15938.75
2025-12-26,15881.97
2025-12-27,15906.17
2025-12-28,15845.86
2025-12-29,15766.40
2025-12-30,15795.17
2025-12-31,15796.71
2026-01-01,16002.88
2026-01-02,15803.34
2026-01-03,15889.88
2026-01-04,15946.69
2026-01-05,16002.28
2026-01-06,16033.67
2026-01-07,15933.61
2026-01-08,15947.61
2026-01-09,15753.59
2026-01-10,15957.19
2026-01-11,15825.53
2026-01-12,15887.74
2026-01-13,15983.22
2026-01-14,15949.90
2026-01-15,16028.73
2026-01-16,16182.43
2026-01-17,16206.63
2026-01-18,15992.29
2026-01-19,15930.47
2026-01-20,15964.44
2026-01-21,15767.10
2026-01-22,16012.72
2026-01-23,16105.35
2026-01-24,15954.18
2026-01-25,15974.19
2026-01-26,15984.77
2026-01-27,15702.21
2026-01-28,15867.69
2026-01-29,15954.10
2026-01-30,15922.43
2026-01-31,15771.58
2026-02-01,15767.66
2026-02-02,15738.97
2026-02-03,15827.89
2026-02-04,15700.57
2026-02-05,15835.06
2026-02-06,15800.29
2026-02-07,15771.65
2026-02-08,15853.62
2026-02-09,15969.69
2026-02-10,15851.54
2026-02-11,15851.25
2026-02-12,16074.62
2026-02-13,15934.35
2026-02-14,16084.26
2026-02-15,15917.84
2026-02-16,16058.65
2026-02-17,15984.34
2026-02-18,15834.80
2026-02-19,16156.11
2026-02-20,16013.49
2026-02-21,16021.73
2026-02-22,15992.89
2026-02-23,15692.98
2026-02-24,15910.68
2026-02-25,15873.28
2026-02-26,15804.51
2026-02-27,15898.51
2026-02-28,15844.90
2026-03-01,15714.69
2026-03-02,15846.26
2026-03-03,15977.84
2026-03-04,15835.42
2026-03-05,15773.10
2026-03-06,15692.51
2026-03-07,15931.55
2026-03-08,15742.72
2026-03-09,15734.36
2026-03-10,15578.27
2026-03-11,15877.70
2026-03-12,15830.60
2026-03-13,15872.09
2026-03-14,15893.49
2026-03-15,16007.55
2026-03-16,15870.47
2026-03-17,15710.70
2026-03-18,15905.62
2026-03-19,15935.80
2026-03-20,15856.58
2026-03-21,15824.27
2026-03-22,15951.68
2026-03-23,15889.16
2026-03-24,15940.80
2026-03-25,15813.66
2026-03-26,15976.42
2026-03-27,15844.41
2026-03-28,15905.19
2026-03-29,15838.57
2026-03-30,15791.27
2026-03-31,15594.26
2026-04-01,16041.97
2026-04-02,15845.90
2026-04-03,15646.62
2026-04-04,15812.84
2026-04-05,15675.24
2026-04-06,15686.24
2026-04-07,15739.02
2026-04-08,15898.69
2026-04-09,15792.83
2026-04-10,15780.21
2026-04-11,15743.06
2026-04-12,15746.94
2026-04-13,15885.73
2026-04-14,15759.79
2026-04-15,16188.00
2026-04-16,15813.79
2026-04-17,15853.58
2026-04-18,15839.36
2026-04-19,16018.94
2026-04-20,15969.63
2026-04-21,15871.07
2026-04-22,15813.31
2026-04-23,15879.22
2026-04-24,15759.04
2026-04-25,15673.72
2026-04-26,15823.82
2026-04-27,15760.70
2026-04-28,15915.67
2026-04-29,15941.84
2026-04-30,15736.26
2026-05-01,15851.04
2026-05-02,15791.36
2026-05-03,15671.86
2026-05-04,15538.99
2026-05-05,15839.49
2026-05-06,15746.13
2026-05-07,15739.18
2026-05-08,15643.10
2026-05-09,15827.26
2026-05-10,15896.28
2026-05-11,15737.91
2026-05-12,15827.41
2026-05-13,15901.92
2026-05-14,16076.72
2026-05-15,15802.65
2026-05-16,15976.92
2026-05-17,16031.66
2026-05-18,15766.61
2026-05-19,15838.21
2026-05-20,15841.57
2026-05-21,15734.95
2026-05-22,15783.86
2026-05-23,15807.51
2026-05-24,15981.72
2026-05-25,15799.77
2026-05-26,15909.37
2026-05-27,15660.42
2026-05-28,15751.08
2026-05-29,15772.34
2026-05-30,15885.01
2026-05-31,15647.52
2026-06-01,15719.72
2026-06-02,15699.82
2026-06-03,15820.48
2026-06-04,15815.07
2026-06-05,15957.98
2026-06-06,15671.50
2026-06-07,15868.54
2026-06-08,15851.63
2026-06-09,15889.62
2026-06-10,15946.45
2026-06-11,15961.67
2026-06-12,15928.53
2026-06-13,15793.67
2026-06-14,16093.75
2026-06-15,16099.04
2026-06-16,15890.79
2026-06-17,15877.39
2026-06-18,15894.60
2026-06-19,15935.02
2026-06-20,15895.07
2026-06-21,15953.87
2026-06-22,15879.80
2026-06-23,16008.25
2026-06-24,15913.61
2026-06-25,15886.35
2026-06-26,15856.77
2026-06-27,15869.72
2026-06-28,15920.08
2026-06-29,15810.09
2026-06-30,15785.09
2026-07-01,15908.49
2026-07-02,15880.06
2026-07-03,15851.45
2026-07-04,16044.72
2026-07-05,15976.10
2026-07-06,15870.79
2026-07-07,15869.73
2026-07-08,15907.27
2026-07-09,15850.98
2026-07-10,15850.66
2026-07-11,15918.39
2026-07-12,15963.89
2026-07-13,16026.06
2026-07-14,16104.72
2026-07-15,16076.50
2026-07-16,16109.16
2026-07-17,16033.65
2026-07-18,16082.65
2026-07-19,15982.69
2026-07-20,16025.50
2026-07-21,15996.83
2026-07-22,16058.11
2026-07-23,15966.51
2026-07-24,15963.20
2026-07-25,16212.61
2026-07-26,15989.89
2026-07-27,15943.86
2026-07-28,15963.04
2026-07-29,15795.55
2026-07-30,15954.66
2026-07-31,16001.67
2026-08-01,16026.12
2026-08-02,15885.24
2026-08-03,15921.96
2026-08-04,15896.62
2026-08-05,16118.30
2026-08-06,16153.10
2026-08-07,16067.57
2026-08-08,16153.71
2026-08-09,15888.76
2026-08-10,16249.41
2026-08-11,16192.42
2026-08-12,16103.56
2026-08-13,16236.24
2026-08-14,16253.79
2026-08-15,16303.83
2026-08-16,16010.69
2026-08-17,16227.97
2026-08-18,16316.33
