"ID_Unit","Provinsi","Jenis_Layanan","Jumlah_Permohonan","Persentase_SLA","Waktu_Respon_Jam","Jumlah_Petugas","Opini_Audit","Kanal_Layanan","Indeks_Kepuasan","Tingkat_Risiko_Layanan","Rasio_Permohonan_per_Petugas","Biaya_Operasional_Juta"
"UP-023","","Perpajakan Daerah","4891","88.26","6.81","260","WTP","Loket","81.78","Rendah","18.81","338.81"
"UP-024","Sumatera Utara","Perizinan","12456","99.18","3.29","674","Wtp","Gerai Keliling","92.75","Rendah","18.48","776.68"
"UP-025","Jakrta","Pengaduan Publik","14404","99.22","19.91","420","WTP","Mobile Service","94.25","Rendah","34.3","555.07"
"UP-026","Jawa Timur","Kesehatan","26426","97.16","7.9","553"," WTP ","Online","97.72","Rendah","47.79","781.21"
"UP-027","Jawa Tengah","Perizinan","31715","90.02","2.55","470"," WTP ","Call Center","87.76","Rendah","67.48","891.72"
"UP-028","Sulawesi Selatan","Pendidikan","22644","95.3","7.97","379"," WTP ","N/A","89.2","Rendah","59.75","616.7"
"UP-029","Jawa Timur","Perpajakan Daerah","5785","90.31","0","459","wtp","Call Center","96.64","Rendah","12.6","422.18"
"UP-030","D.K.I Jakarta","Pendidikan","25362","88.54","15.89","360","wtp","Mobile Service","82.33","Rendah","70.45","640.18"
"UP-031","Riau","Perpajakan Daerah","15455","89.59","16.86","337","wtp","Call Center","88.23","Rendah","45.86","471.79"
"UP-032","Sumatera Utara","Pendidikan","10022","88.21","21.45","237","wtp","Gerai Keliling","94.14","Rendah","42.29","293.36"
"UP-033","Papua","Kesehatan","7547","98.6","?","614"," WTP ","?","80.19","Rendah","12.29","605.54"
"UP-034","DI Yogyakarta","Perizinan","19321","","5.37","666","wtp","Gerai Keliling","NULL","Rendah","29.01","859.2"
"UP-035","Kalimantan Timur","Perizinan","25449","97.08","15.48","434","wtp","Call Center","94.58","Rendah","58.64","679.4"
"UP-036","Banten","Perpajakan Daerah","24321","98.98","19.25","152","WTP","Loket","90.52","Rendah","160.01","452.22"
"UP-037","Sumatera Utara","Perpajakan Daerah","13247","93.57","3.54","96","wtp","?","N/A","Rendah","137.99","235.85"
"UP-038","Jawa Tengah","Perpajakan Daerah","15310","90.06","?","-12","Wtp","Call Center","87.23","Rendah","-1275.83","240.58"
"UP-039","D.K.I Jakarta","Administrasi Kependudukan","11658","88.85","","NULL","wtp","Online","84.77","Rendah","",""
"UP-040","","-","14314","89.95","11.77","494","WTP","Gerai Keliling","83.34","Rendah","28.98","570.48"
"UP-041","N/A","Kesehatan","17791","95.35","16.76","257","?","Onlne","91.93","Rendah","69.23","512.84"
"UP-042","Kalimantan Timur","Pendidikan","5630","88.68","20.13","485","WTP","Online","91.74","Rendah","11.61","503.42"
"UP-043","D.K.I Jakarta","-","10995","NULL","2.15","647","WTP","Mobile Service","80.2","Rendah","16.99","701.71"
"UP-044","Jakarta","Perpajakan Daerah","769","97.15","12.92","410","WTP","Gerai Keliling","86.15","Rendah","1.88","393.53"
"UP-045","Kalimantan Timur","Kesehatan","7499","88.19","10.43","607","wtp","Loket","NULL","Rendah","12.35","25000"
"UP-046","D.K.I Jakarta","Administrasi Kependudukan","2475","91.76","14.37","210","wtp"," online","93.34","Rendah","11.79","260.57"
"UP-047","Jawa Timur","Kesehatan","2211","88.7","4.16","73","WTP","Loket","89.41","Rendah","30.29","88.73"
"UP-048","Jawa Timur","Perizinan","31509","88.63","12.23","121","wtp","Gerai Keliling","95.72","Rendah","260.4","581.64"
"UP-049","Kalimantan Timur","Pendidikan","36124","74.61","70.87","70","wdp","Gerai Keliling","79.35","Sedang","516.06","597.98"
"UP-050","Banten","Pengaduan Publik","37770","78.2","58.96","321","WDP","Call Center","86.01","Sedang","117.66","787.98"
"UP-051","D.K.I Jakarta","Perpajakan Daerah","17667","85.21","20.89","229","-","Online","80.34","Sedang","77.15","498.47"
"UP-052","DI Yogyakarta","Perpajakan Daerah","6183","77.5","NULL","100","WDP","Call Center","76.05","Sedang","61.83","209.93"
"UP-053","Papua","Administrasi Kependudukan","5799","76.64","14.35","322","wdp"," online","77.67","Sedang","18.01","361.5"
"UP-054","Sumatera Utara","Administrasi Kependudukan","43354","76.41","61.25","330","","Call Center","86.64","Sedang","131.38","884.78"
"UP-055","DKI Jakarta","Perizinan","13595","80.15","32.33","705","WDP","Online","71.64","Sedang","19.28","801.97"
"UP-056","Sulawesi Selatan","N/A","29686","90.33","13.63","","wdp","Loket","81.35","Sedang","",""
"UP-057","Jawa Timur","Perizinan","31440","71.79","59.11","567","WTP","Gerai Keliling","73.25","Sedang","55.45","876.97"
"UP-058","DKI Jakarta","Perizinan","9212","89.03","64.43","129","-","-","70.62","Sedang","71.41","279.62"
"UP-059","Jawa Tengah","Pendidikan","29835","85.48","NULL","227","wdp","Gerai Keliling","79.63","Sedang","131.43","641.2"
"UP-060","Sumatera Utara","Pendidikan","21232","88.43","?","878","WTP","Gerai Keliling","80.68","Sedang","24.18","1054.35"
"UP-061","Banten","Perpajakan Daerah","25613","86.53","22.54","375","WTP","Loket","78.25","Sedang","68.3","711.96"
"UP-062","Papua","Pengaduan Publik","35583","80.79","12.68","644","WDP","Loket","67.49","Sedang","55.25","1053.55"
"UP-063","Kalimantan Timur","Administrasi Kependuudkan","10541","79.87","9.14","733","WDP","Mobile Service","71.23","Sedang","14.38","695.37"
"UP-064","Jawa Tengah","Perpajakan Daerah","17795","N/A","16.69","891","wdp","Online","69.86","Sedang","19.97","1022.03"
"UP-065","Sulawesi Selatan","Perpajakan Daerah","8375","72.86","NULL","0","N/A","Online","87.64","Sedang","","73.81"
"UP-066","Bali","Perizinan","2723","82.14","58.95","333","WDP","Call Center","82.78","Sedang","8.18","305.68"
"UP-067","DI Yogyakarta","Kesehatan","26666","73.16","65.6","500","WDP","Mobile Service","67.73","Sedang","53.33","750.13"
"UP-068","Papua","Pengaduan Publik","4115","76.44","66.55","886","wdp","Call Center","74.26","Sedang","4.64","770.96"
"UP-069","Jawa Timur","Perizinan","33115","73.46","46.29","181","WTP","Online","85.23","Sedang","182.96","597.49"
"UP-070","Jawa Tengah","Perpajakan Daerah","34351","83.28","51.14","874","wdp","Call Center","74.49","Sedang","39.3","1227.59"
"UP-071","Jawa Timur","Administrasi Kependudukan","380000","80.61","360","2800","WTP","Call Center","83.17","Sedang","135.71","14394.71"
"UP-072","Riau","Perizinan","24998","","55.23","845","wdp","Mobile Service","87.23","Sedang","29.58","1005.98"
"UP-073","Jakarta","Pendidikan","22304","83.42","26.72","280","wdp","Online","74.97","Sedang","79.66","597.66"
"UP-074","DI Yogyakarta","Pendidikan","43732","89.76","14.46","615","N/A","Gerai Keliling","74.62","Sedang","999","1193.47"
"UP-075","Sumatera Utara","Administrasi Kependudukan","-","72.43","19.06","214","WTP","Mobile Service","75.99","Sedang","",""
"UP-076","Jakarta","Perizinan","12378","70.97","65.35","128","wdp","Loket","75.98","Sedang","96.7","285.07"
"UP-077","Jakarta","Administrasi Kependudukan","32013","83.49","61.95","732","","Call Center","70.96","Sedang","43.73","1068.82"
"UP-078","Sulawesi Selatan","Perizinan","45345","77.52","?","105","WDP","Call Center","69.58","Sedang","431.86","738.98"
"UP-079","DI Yogyakarta","Pendidikan","32380","84.55","11.54","N/A","wdp","Call Center","71.55","Sedang","",""
"UP-080","Papua","?","24731","80.46","-4","348","?","Loket","80.57","Sedang","71.07","620.48"
"UP-081","Jawa Tengah","Kesehatan","23320","73.05","42.78","834","WDP","Online","73.53","Sedang","27.96","1059.13"
"UP-082","Banten","Administrasi Kependudukan","61549","76.88","50.84","873","TMP","Loket","60.97","Tinggi","70.5","1606.41"
"UP-083","DKI Jakarta","Perizinan","41641","72.47","128.81","625","TW","Call Center","72.67","Tinggi","66.63","1179.8"
"UP-084","Jawa Timur","Administrasi Kependudukan","35761","","160.15","273","TMP","Loket","NULL","Tinggi","130.99","700.66"
"UP-085","Banten","Kesehatan","18145","62.72","112.44","236","WDP","Online","76.39","Tinggi","76.89","451.19"
"UP-086","Jakarta","Administrasi Kependudukan","59509","60.86","125.18","244","TW","Online","73.51","Tinggi","243.89","1067.7"
"UP-087","Jawa Tengah","Pengaduan Publik","36390","57.71","165.68","938","TW","Online","53.44","Tinggi","38.8","1245.47"
"UP-088","Banten","Administrasi Kependudukan","40095","62.99","42.73","1085","WDP","Loket","66.19","Tinggi","36.95","1447.36"
"UP-089","Bali","Perizinan","33412","53.46","81.1","627","TW","Online","50.14","Tinggi","53.29","N/A"
"UP-090","Jawa Barat","Perizinan","17242","N/A","45.33","256","TMP","Online","49.87","Tinggi","67.35","476.88"
"UP-091","Sulawesi Selatan","Pendidikan","42361","77.31","38.06","89","TW","Call Center","76.81","Tinggi","475.97","749.58"
"UP-092","Sumatera Utara","Perizinan","34004","","114.65","466","TW","Gerai Keliling","69.8","Tinggi","72.97","909.95"
"UP-093","Jawa Barat","Perizinan","29876","","30.61","909","TW","LOKET","59.16","Tinggi","32.87","1200.15"
"UP-094","Sumatera Utara","Pendidikan","53024","55.76","105.81","110","WDP","Call Center","62.64","Tinggi","482.04","855.58"
"UP-095","Kalimantan Timur","Pengaduan Publik","42714","45.8","?","914","TMP","Loket","57.79","Tinggi","46.73","1385.64"
"UP-003","Jawa Barat","Administrasi Kependudukan","9229","89.32","12.47","568","wtp","Loket","81.57","Rendah","16.25","579.71"
"UP-018","Jawa Timur","Pendidikan","4719","90.12","3.39","N/A","Wtp","Mobile Service","NULL","Rendah","",""
"UP-051","D.K.I Jakarta","Perpajakan Daerah","17667","85.21","20.89","229","-","Online","80.34","Sedang","77.15","500.96"
"UP-068","Papua","Pengaduan Publik","4115","76.44","66.55","886","wdp","Call Center","74.26","Sedang","4.64","786.49"
"UP-091","Sulawesi Selatan","Pendidikan","42361","77.31","38.06","89","TW","Call Center","76.81","Tinggi","475.97","736.14"
