"ID_Unit","Provinsi","Jenis_Layanan","Jumlah_Permohonan","Persentase_SLA","Waktu_Respon_Jam","Jumlah_Petugas","Opini_Audit","Kanal_Layanan","Indeks_Kepuasan","Rasio_Permohonan_per_Petugas","Biaya_Operasional_Juta","Tingkat_Risiko_Layanan"
"UP-049","Kalimantan Timur","Pendidikan","36124","74.61","70.87","70","wdp","Gerai Keliling","79.35","516.06","597.98","Sedang"
"UP-050","Banten","Pengaduan Publik","37770","78.2","58.96","321","WDP","Call Center","86.01","117.66","787.98","Sedang"
"UP-051","D.K.I Jakarta","Perpajakan Daerah","17667","85.21","20.89","229","-","Online","80.34","77.15","498.47","Sedang"
"UP-052","DI Yogyakarta","Perpajakan Daerah","6183","77.5","","100","WDP","Call Center","76.05","61.83","209.93","Sedang"
"UP-053","Papua","Administrasi Kependudukan","5799","76.64","14.35","322","wdp","online","77.67","18.01","361.5","Sedang"
"UP-054","Sumatera Utara","Administrasi Kependudukan","43354","76.41","61.25","330","","Call Center","86.64","131.38","884.78","Sedang"
"UP-055","DKI Jakarta","Perizinan","13595","80.15","32.33","705","WDP","Online","71.64","19.28","801.97","Sedang"
"UP-056","Sulawesi Selatan","N/A","29686","90.33","13.63","","wdp","Loket","81.35","","","Sedang"
"UP-057","Jawa Timur","Perizinan","31440","71.79","59.11","567","WTP","Gerai Keliling","73.25","55.45","876.97","Sedang"
"UP-058","DKI Jakarta","Perizinan","9212","89.03","64.43","129","-","-","70.62","71.41","279.62","Sedang"
"UP-059","Jawa Tengah","Pendidikan","29835","85.48","","227","wdp","Gerai Keliling","79.63","131.43","641.2","Sedang"
"UP-060","Sumatera Utara","Pendidikan","21232","88.43","","878","WTP","Gerai Keliling","80.68","24.18","1054.35","Sedang"
"UP-061","Banten","Perpajakan Daerah","25613","86.53","22.54","375","WTP","Loket","78.25","68.3","711.96","Sedang"
"UP-062","Papua","Pengaduan Publik","35583","80.79","12.68","644","WDP","Loket","67.49","55.25","1053.55","Sedang"
"UP-063","Kalimantan Timur","Administrasi Kependuudkan","10541","79.87","9.14","733","WDP","Mobile Service","71.23","14.38","695.37","Sedang"
"UP-064","Jawa Tengah","Perpajakan Daerah","17795","","16.69","891","wdp","Online","69.86","19.97","1022.03","Sedang"
"UP-065","Sulawesi Selatan","Perpajakan Daerah","8375","72.86","","0","N/A","Online","87.64","","73.81","Sedang"
"UP-066","Bali","Perizinan","2723","82.14","58.95","333","WDP","Call Center","82.78","8.18","305.68","Sedang"
"UP-067","DI Yogyakarta","Kesehatan","26666","73.16","65.6","500","WDP","Mobile Service","67.73","53.33","750.13","Sedang"
"UP-068","Papua","Pengaduan Publik","4115","76.44","66.55","886","wdp","Call Center","74.26","4.64","770.96","Sedang"
"UP-069","Jawa Timur","Perizinan","33115","73.46","46.29","181","WTP","Online","85.23","182.96","597.49","Sedang"
"UP-070","Jawa Tengah","Perpajakan Daerah","34351","83.28","51.14","874","wdp","Call Center","74.49","39.3","1227.59","Sedang"
"UP-071","Jawa Timur","Administrasi Kependudukan","380000","80.61","360","2800","WTP","Call Center","83.17","135.71","14394.71","Sedang"
"UP-072","Riau","Perizinan","24998","","55.23","845","wdp","Mobile Service","87.23","29.58","1005.98","Sedang"
"UP-073","Jakarta","Pendidikan","22304","83.42","26.72","280","wdp","Online","74.97","79.66","597.66","Sedang"
"UP-074","DI Yogyakarta","Pendidikan","43732","89.76","14.46","615","N/A","Gerai Keliling","74.62","999","1193.47","Sedang"
"UP-075","Sumatera Utara","Administrasi Kependudukan","","72.43","19.06","214","WTP","Mobile Service","75.99","","","Sedang"
"UP-076","Jakarta","Perizinan","12378","70.97","65.35","128","wdp","Loket","75.98","96.7","285.07","Sedang"
"UP-077","Jakarta","Administrasi Kependudukan","32013","83.49","61.95","732","","Call Center","70.96","43.73","1068.82","Sedang"
"UP-078","Sulawesi Selatan","Perizinan","45345","77.52","","105","WDP","Call Center","69.58","431.86","738.98","Sedang"
"UP-079","DI Yogyakarta","Pendidikan","32380","84.55","11.54","","wdp","Call Center","71.55","","","Sedang"
"UP-080","Papua","?","24731","80.46","-4","348","?","Loket","80.57","71.07","620.48","Sedang"
"UP-081","Jawa Tengah","Kesehatan","23320","73.05","42.78","834","WDP","Online","73.53","27.96","1059.13","Sedang"
"UP-082","Banten","Administrasi Kependudukan","61549","76.88","50.84","873","TMP","Loket","60.97","70.5","1606.41","Tinggi"
"UP-083","DKI Jakarta","Perizinan","41641","72.47","128.81","625","TW","Call Center","72.67","66.63","1179.8","Tinggi"
"UP-084","Jawa Timur","Administrasi Kependudukan","35761","","160.15","273","TMP","Loket","","130.99","700.66","Tinggi"
"UP-085","Banten","Kesehatan","18145","62.72","112.44","236","WDP","Online","76.39","76.89","451.19","Tinggi"
"UP-086","Jakarta","Administrasi Kependudukan","59509","60.86","125.18","244","TW","Online","73.51","243.89","1067.7","Tinggi"
"UP-087","Jawa Tengah","Pengaduan Publik","36390","57.71","165.68","938","TW","Online","53.44","38.8","1245.47","Tinggi"
"UP-088","Banten","Administrasi Kependudukan","40095","62.99","42.73","1085","WDP","Loket","66.19","36.95","1447.36","Tinggi"
"UP-089","Bali","Perizinan","33412","53.46","81.1","627","TW","Online","50.14","53.29","","Tinggi"
"UP-090","Jawa Barat","Perizinan","17242","","45.33","256","TMP","Online","49.87","67.35","476.88","Tinggi"
"UP-091","Sulawesi Selatan","Pendidikan","42361","77.31","38.06","89","TW","Call Center","76.81","475.97","749.58","Tinggi"
"UP-092","Sumatera Utara","Perizinan","34004","","114.65","466","TW","Gerai Keliling","69.8","72.97","909.95","Tinggi"
"UP-093","Jawa Barat","Perizinan","29876","","30.61","909","TW","LOKET","59.16","32.87","1200.15","Tinggi"
"UP-094","Sumatera Utara","Pendidikan","53024","55.76","105.81","110","WDP","Call Center","62.64","482.04","855.58","Tinggi"
"UP-095","Kalimantan Timur","Pengaduan Publik","42714","45.8","","914","TMP","Loket","57.79","46.73","1385.64","Tinggi"
"UP-003","Jawa Barat","Administrasi Kependudukan","9229","89.32","12.47","568","wtp","Loket","81.57","16.25","579.71","Rendah"
"UP-018","Jawa Timur","Pendidikan","4719","90.12","3.39","","Wtp","Mobile Service","","","","Rendah"
"UP-051","D.K.I Jakarta","Perpajakan Daerah","17667","85.21","20.89","229","-","Online","80.34","77.15","500.96","Sedang"
"UP-068","Papua","Pengaduan Publik","4115","76.44","66.55","886","wdp","Call Center","74.26","4.64","786.49","Sedang"
"UP-091","Sulawesi Selatan","Pendidikan","42361","77.31","38.06","89","TW","Call Center","76.81","475.97","736.14","Tinggi"
