ID_Rumah,Luas_Tanah_m2,Luas_Bangunan_m2,Jumlah_Kamar_Tidur,Jumlah_Kamar_Mandi,Jumlah_Lantai,Usia_Bangunan_Tahun,Jarak_Pusat_Kota_km,Kategori_Lokasi,Harga_Rumah_Juta
RMH0027,153,123,4,2,2,8,3.3,Pinggiran,1295.1
RMH0028,127,68,3,2,2,3,2.3,Pinggiran,1049.6
RMH0029,220,187,4,4,1,2,1.8,Pedesaan,1664.4
RMH0030,60,36,4,3,2,35,6.4,Perkotaan,975.6
RMH0031,174,124,2,2,1,1,0.7,Pinggiran,1527.0
RMH0032,244,180,3,2,1,19,11.2,Perkotaan,2710.4
RMH0033,100,45,3,2,2,2,8.1,Pinggiran,867.8
RMH0034,154,74,5,3,2,7,1.0,Perkotaan,1556.6
RMH0035,96,74,5,4,2,2,1.7,Perkotaan,1528.3
RMH0036,60,37,3,3,2,30,10.0,Pedesaan,412.3
RMH0037,263,153,3,3,2,16,10.0,Perkotaan,2556.8
RMH0038,117,93,3,2,1,3,9.5,Perkotaan,1471.0
RMH0039,195,113,3,2,3,3,6.2,Pinggiran,1690.9
RMH0040,140,116,5,2,3,2,0.7,Pinggiran,1657.2
RMH0041,142,98,2,1,1,7,1.8,Pinggiran,1455.9
RMH0042,152,101,3,2,1,1,6.5,Perkotaan,1604.6
RMH0043,97,72,5,3,1,4,3.1,Perkotaan,1479.2
RMH0044,202,167,2,1,1,6,0.3,Perkotaan,2207.9
RMH0045,67,48,4,3,1,2,3.8,Pedesaan,619.2
RMH0046,109,53,1,1,2,11,6.7,Perkotaan,1098.7
RMH0047,155,85,3,2,2,1,3.2,Pinggiran,1348.1
RMH0048,252,163,3,1,2,12,0.7,Pinggiran,2122.1
RMH0049,229,150,5,2,1,15,3.7,Pedesaan,1218.1
RMH0050,60,41,5,4,2,6,10.7,Pinggiran,738.8
RMH0051,242,155,2,1,1,8,8.7,Pinggiran,1799.3
RMH0052,110,53,3,2,1,1,1.6,Pinggiran,1039.7
RMH0053,143,88,3,2,1,2,3.3,Pedesaan,785.0
RMH0054,96,76,3,1,1,11,11.5,Pedesaan,596.3
RMH0055,60,40,4,3,1,2,3.4,Perkotaan,935.9
RMH0056,240,147,4,2,2,0,3.0,Pinggiran,2030.0
RMH0057,249,126,3,2,1,4,1.4,Perkotaan,2354.6
RMH0058,82,62,3,1,1,6,30,Perkotaan,931.4
RMH0059,78,55,1,1,3,2,0.3,Perkotaan,1192.1
RMH0060,224,151,3,2,1,7,8.3,Perkotaan,2505.9
RMH0061,226,111,1,1,1,9,19.0,Pinggiran,1473.9
RMH0062,123,89,3,2,2,7,0.8,Pedesaan,841.3
RMH0063,163,101,2,1,1,3,11.4,Pedesaan,1120.3
RMH0064,260,183,4,2,2,27,1.9,Pedesaan,1398.9
RMH0065,72,45,3,2,1,15,10.7,Perkotaan,978.0
RMH0066,115,73,2,1,2,2,1.4,Pinggiran,1008.1
RMH0067,72,53,5,3,1,24,0.5,Pinggiran,693.4
RMH0068,158,115,2,2,1,2,7.1,Perkotaan,1751.5
RMH0069,81,54,2,1,2,3,7.3,Perkotaan,1066.7
RMH0070,185,98,4,3,1,2,4.0,Pinggiran,1566.1
RMH0071,234,132,3,1,1,2,1.2,Perkotaan,2240.2
RMH0072,138,116,1,1,2,5,12.4,Pinggiran,1243.5
RMH0073,76,40,3,1,3,5,10.4,Pinggiran,863.2
RMH0074,194,91,4,2,3,1,8.7,Pinggiran,1570.0
RMH0075,163,107,2,1,1,16,27.6,Perkotaan,1496.4
RMH0076,84,63,4,2,2,1,1.1,Perkotaan,1263.0
RMH0077,227,156,3,2,1,10,7.3,Pinggiran,1775.2
RMH0078,60,46,2,2,1,6,6.3,Pedesaan,415.8
RMH0079,162,84,3,2,2,7,2.0,Perkotaan,1640.0
RMH0080,60,50,2,1,1,5,2.3,Perkotaan,947.6
RMH0081,300,235,5,3,3,40,6.7,Perkotaan,3432.0
RMH0082,179,114,2,1,2,8,4.1,Perkotaan,1736.6
RMH0083,114,82,4,3,1,9,2.0,Pedesaan,878.9
RMH0084,68,43,3,3,1,6,26.6,Pinggiran,745.5
RMH0085,80,42,3,2,2,8,8.6,Perkotaan,811.4
RMH0086,101,63,3,3,2,2,1.0,Pinggiran,991.8
RMH0087,121,102,3,3,1,1,10.7,Pinggiran,1233.2
RMH0088,68,38,5,3,2,4,15.3,Pinggiran,553.5
RMH0089,252,141,1,1,1,22,4.3,Pedesaan,1244.9
RMH0090,208,142,4,2,1,3,4.8,Pinggiran,1775.8
RMH0091,91,48,3,2,2,2,9.0,Perkotaan,1116.8
RMH0092,60,46,2,2,3,5,0.3,Pinggiran,861.3
RMH0093,60,48,2,1,1,5,7.7,Pinggiran,664.5
RMH0094,117,75,4,3,2,15,11.5,Pedesaan,765.2
RMH0095,105,77,4,3,2,0,0.4,Pinggiran,1432.9
RMH0096,60,45,3,2,2,5,7.1,Pedesaan,553.0
RMH0097,270,153,4,2,1,6,5.0,Pinggiran,2041.6
RMH0098,175,140,2,2,1,5,1.8,Perkotaan,2055.7
RMH0099,276,224,3,2,1,5,2.5,Pinggiran,2362.7
RMH0100,94,52,3,2,1,2,5.1,Pinggiran,844.3
RMH0101,208,175,3,2,1,7,6.9,Pinggiran,2026.7
RMH0102,179,116,4,3,2,3,6.1,Pinggiran,1533.0
RMH0103,101,72,1,1,2,19,6.2,Perkotaan,1069.8
RMH0104,183,136,4,3,1,1,4.7,Pedesaan,1259.3
RMH0105,60,47,3,2,2,5,9.9,Pinggiran,719.9
RMH0106,179,149,5,4,2,31,20.5,Pedesaan,1362.6
RMH0107,68,31,4,3,1,9,6.7,Pinggiran,804.4
RMH0108,60,30,3,3,2,20,1.5,Perkotaan,874.6
RMH0109,219,125,1,1,1,23,2.2,Pinggiran,1717.0
RMH0110,234,118,1,1,3,4,8.1,Perkotaan,2181.4
RMH0111,122,79,3,2,3,0,2.8,Pinggiran,1353.8
RMH0112,108,53,2,2,1,4,1.3,Perkotaan,1104.3
RMH0113,195,139,2,1,2,0,9.3,Perkotaan,2232.6
RMH0114,214,102,3,2,2,3,1.0,Pedesaan,1080.7
RMH0115,288,146,3,1,1,2,6.5,Perkotaan,2762.7
RMH0116,162,88,3,1,2,6,8.2,Pinggiran,1327.3
RMH0117,165,81,2,1,3,0,9.2,Pedesaan,807.1
RMH0118,140,117,4,2,2,5,14.4,Perkotaan,1844.3
RMH0119,234,111,4,2,2,6,2.4,Pedesaan,1132.2
RMH0120,135,93,4,3,2,12,7.7,Perkotaan,1731.2
RMH0121,102,60,3,2,1,1,3.3,Pinggiran,938.6
RMH0122,179,147,5,2,1,11,10.0,Pinggiran,1754.4
RMH0123,73,42,2,1,1,9,8.3,Pedesaan,451.0
RMH0124,60,41,2,1,2,2,0.7,Pedesaan,610.0
RMH0125,70,48,4,3,2,29,10.2,Pinggiran,729.6
RMH0126,137,113,3,1,2,3,2.5,Perkotaan,1720.2
RMH0127,212,129,2,1,2,0,8.2,Perkotaan,2084.7
RMH0128,181,108,3,2,1,0,1.0,Pinggiran,1352.3
RMH0129,124,89,2,1,1,3,8.4,Perkotaan,1400.0
RMH0130,174,126,1,1,1,7,0.3,Perkotaan,1946.8
RMH0131,159,88,4,2,1,11,1.2,Pinggiran,1280.5
RMH0132,71,56,3,2,1,0,15.2,Pedesaan,546.1
RMH0133,69,51,2,1,1,0,2.4,Pedesaan,436.7
RMH0134,61,50,5,3,2,6,3.0,Perkotaan,1212.8
RMH0135,116,60,4,3,1,6,14.2,Perkotaan,1276.8
RMH0136,60,47,3,1,2,11,6.4,Perkotaan,981.5
RMH0137,162,122,2,2,1,21,5.0,Pinggiran,1277.8
RMH0138,60,42,3,2,1,3,0.3,Pinggiran,775.7
RMH0139,122,58,4,3,1,16,11.6,Pinggiran,885.0
RMH0140,147,99,4,2,2,8,2.3,Pinggiran,1171.7
RMH0141,165,81,3,3,1,10,4.2,Perkotaan,1663.5
RMH0142,225,141,2,1,1,4,2.5,Pinggiran,1752.7
RMH0143,175,83,1,1,2,3,7.7,Pinggiran,1406.5
RMH0144,71,41,2,1,3,10,3.0,Pinggiran,705.5
RMH0145,206,124,3,2,2,9,10.6,Pinggiran,1573.6
RMH0146,71,50,2,1,1,2,17.7,Pinggiran,745.0
RMH0147,156,75,4,3,1,12,10.8,Pedesaan,946.9
RMH0148,165,125,4,2,2,12,9.9,Perkotaan,2025.8
RMH0149,83,60,3,2,1,3,8.3,Pinggiran,809.1
RMH0150,137,106,1,1,3,33,3.7,Perkotaan,1580.4
RMH0151,87,73,4,3,2,1,1.7,Pinggiran,1151.2
RMH0152,87,43,4,2,2,3,14.1,Perkotaan,922.5
RMH0153,60,32,4,3,1,0,0.3,Pinggiran,776.6
RMH0154,375,225,6,4,2,13,0.9,Perkotaan,3757.2
RMH0155,202,102,2,2,1,0,0.5,Perkotaan,2030.1
RMH0156,74,55,2,1,1,0,3.3,Pinggiran,806.9
RMH0157,117,95,3,2,1,6,1.7,Perkotaan,1454.6
RMH0158,192,105,2,1,3,1,4.5,Pinggiran,1560.7
RMH0159,239,145,3,2,2,32,1.8,Perkotaan,2356.2
RMH0160,88,65,2,2,1,0,4.7,Pedesaan,558.0
RMH0161,205,130,5,4,2,13,0.4,Pinggiran,1700.3
RMH0162,165,77,3,3,1,36,4.7,Perkotaan,1537.4
RMH0163,151,90,2,2,2,3,0.8,Pinggiran,1408.2
RMH0164,76,61,1,1,1,21,4.4,Pedesaan,699.0
RMH0165,146,101,3,2,1,3,0.5,Pinggiran,1304.5
RMH0166,239,148,3,1,2,3,30,Perkotaan,2218.3
RMH0167,319,153,3,2,1,13,6.8,Pedesaan,1605.5
RMH0168,225,172,3,2,1,4,5.0,Pinggiran,1973.8
RMH0169,76,46,1,1,2,6,3.0,Pinggiran,744.8
RMH0170,184,137,2,1,1,2,3.5,Pedesaan,1159.4
RMH0171,115,74,5,2,2,5,13.7,Pinggiran,1216.9
RMH0172,206,162,3,1,1,18,11.4,Pinggiran,1826.2
RMH0173,240,184,2,1,1,2,0.9,Pinggiran,2171.8
RMH0174,165,99,3,2,1,3,30,Pinggiran,1156.4
RMH0175,60,47,3,1,3,8,3.6,Pinggiran,654.0
RMH0176,269,205,3,3,1,19,0.3,Perkotaan,2919.4
RMH0177,174,101,4,3,1,23,13.5,Pedesaan,975.1
RMH0178,249,167,4,3,1,1,17.0,Perkotaan,2679.2
RMH0179,89,62,2,2,2,14,0.3,Perkotaan,1102.7
RMH0180,79,56,3,2,1,8,2.1,Pedesaan,526.5
RMH0181,60,43,3,2,1,0,3.5,Pinggiran,784.8
RMH0182,242,139,3,2,3,1,2.8,Pinggiran,1752.2
RMH0183,117,65,4,2,1,3,2.9,Pinggiran,1072.3
RMH0184,290,149,2,1,2,6,4.3,Pinggiran,2119.6
RMH0185,145,120,3,2,3,2,2.6,Perkotaan,1735.7
RMH0186,155,110,2,2,1,17,7.8,Pinggiran,1338.9
RMH0187,103,70,4,2,2,1,4.2,Pinggiran,1022.0
RMH0188,357,258,5,3,2,3,16.8,Pinggiran,3068.4
RMH0189,176,114,4,2,1,3,3.9,Pinggiran,1439.1
RMH0190,98,57,3,3,2,3,2.5,Pedesaan,672.3
RMH0191,60,34,3,2,1,9,23.4,Pinggiran,621.1
RMH0192,60,44,4,4,2,12,5.2,Pinggiran,809.6
RMH0193,113,79,3,2,2,1,6.9,Perkotaan,1492.7
RMH0194,139,64,3,2,1,12,15.2,Pedesaan,784.3
RMH0195,148,75,3,2,1,9,4.5,Perkotaan,1614.9
RMH0196,287,168,2,2,2,9,5.7,Perkotaan,2872.5
RMH0197,152,82,4,4,1,3,1.4,Pinggiran,1292.5
RMH0198,209,172,3,1,2,4,23.5,Pedesaan,1247.2
RMH0199,271,153,2,1,2,3,3.5,Perkotaan,2527.6
RMH0200,156,104,5,2,2,7,1.7,Pinggiran,1387.3
RMH0201,60,28,3,2,2,1,8.8,Perkotaan,658.5
RMH0202,100,61,5,3,1,27,2.3,Pinggiran,886.3
RMH0203,175,119,3,2,2,22,14.7,Perkotaan,1895.6
RMH0204,121,99,4,3,3,26,15.6,Pedesaan,855.6
RMH0205,241,119,3,3,1,36,4.7,Pinggiran,1800.3
RMH0206,99,63,3,1,1,2,1.2,Pinggiran,1007.1
RMH0207,173,130,2,1,2,18,10.5,Pinggiran,1580.8
RMH0208,204,107,4,2,1,2,8.4,Pedesaan,1183.6
RMH0209,114,52,5,4,2,1,0.8,Perkotaan,1332.4
RMH0210,196,158,3,1,2,3,5.7,Perkotaan,2256.6
RMH0211,177,133,3,2,1,6,3.8,Pinggiran,1564.3
RMH0212,108,59,3,1,1,10,0.5,Pinggiran,765.0
RMH0213,232,151,4,3,1,3,4.4,Perkotaan,2537.5
RMH0214,239,116,1,1,1,5,0.4,Pinggiran,1637.8
RMH0215,189,115,1,1,2,7,0.3,Perkotaan,2208.4
RMH0216,238,196,5,2,1,12,8.7,Pedesaan,1632.8
RMH0217,106,90,2,1,2,19,2.8,Pinggiran,1004.1
RMH0218,76,54,3,2,1,10,1.5,Perkotaan,1132.2
RMH0219,208,150,3,2,1,14,1.7,Perkotaan,2268.2
RMH0220,313,232,5,3,2,17,0.3,Perkotaan,3543.6
RMH0221,165,114,3,2,1,11,3.1,Perkotaan,1908.1
RMH0222,287,136,2,2,2,3,5.5,Pinggiran,1959.3
RMH0223,125,63,4,3,1,3,0.4,Pedesaan,949.4
RMH0224,60,42,2,2,3,9,9.2,Perkotaan,954.0
RMH0225,116,70,3,2,1,15,2.1,Pinggiran,1099.8
RMH0226,60,40,4,2,1,2,6.2,Pedesaan,509.1
RMH0227,168,124,3,1,1,9,5.5,Pedesaan,1122.2
RMH0228,260,192,2,2,1,25,0.3,Pedesaan,1482.9
RMH0229,184,156,3,2,1,7,1.4,Pedesaan,1114.8
RMH0230,111,67,2,1,1,6,0.6,Pedesaan,695.0
RMH0231,60,49,3,2,1,7,1.5,Perkotaan,983.2
RMH0232,313,213,2,1,1,14,4.2,Pinggiran,2420.8
RMH0233,129,100,2,2,2,5,1.1,Pinggiran,1340.1
RMH0234,248,160,4,3,1,0,11.3,Pedesaan,1388.8
RMH0235,91,56,1,1,1,10,0.3,Pinggiran,740.6
RMH0236,219,157,2,1,1,6,0.3,Pinggiran,1762.8
RMH0237,120,55,6,4,2,13,14.4,Perkotaan,1407.3
RMH0238,173,91,1,1,1,4,3.1,Pinggiran,1263.8
RMH0239,200,145,3,2,2,16,8.6,Perkotaan,2124.3
RMH0240,211,100,4,3,1,12,5.0,Pedesaan,1115.5
RMH0241,221,103,4,2,2,17,3.9,Perkotaan,2232.8
RMH0242,222,180,3,3,1,26,5.3,Pinggiran,1935.5
RMH0243,134,64,2,1,1,14,3.0,Pedesaan,651.8
RMH0244,252,128,5,3,3,0,3.4,Pedesaan,1386.4
RMH0245,85,71,5,3,2,0,1.9,Pedesaan,694.0
RMH0246,154,127,1,1,1,8,9.6,Pinggiran,1441.5
RMH0247,185,136,3,2,2,3,0.7,Perkotaan,2155.3
RMH0248,212,118,3,2,2,4,0.3,Pinggiran,1709.9
RMH0249,229,133,4,2,1,4,0.5,Pedesaan,1509.3
RMH0250,60,41,4,2,1,5,0.4,Pinggiran,837.3
RMH0251,79,38,4,2,1,8,5.4,Perkotaan,1063.0
RMH0252,187,155,2,2,1,3,10.1,Pedesaan,1337.9
RMH0253,187,108,3,3,1,3,20.0,Pedesaan,1008.9
RMH0254,254,164,2,1,2,4,0.7,Pinggiran,1974.9
RMH0255,76,55,2,1,3,5,7.4,Pinggiran,785.4
RMH0256,254,198,3,2,2,2,6.4,Pinggiran,2132.4
RMH0257,157,133,3,2,1,6,15.2,Pinggiran,1328.3
RMH0258,116,69,4,3,1,12,6.4,Pinggiran,995.7
RMH0259,137,116,3,2,1,11,20.2,Pinggiran,1353.5
RMH0260,154,101,2,1,1,4,8.9,Pinggiran,1270.3
RMH0261,86,40,3,1,1,26,0.7,Pedesaan,564.5
RMH0262,197,125,3,2,1,10,2.3,Perkotaan,2192.0
RMH0263,163,129,2,1,2,1,24.8,Perkotaan,1875.5
RMH0264,187,126,4,2,1,8,3.4,Perkotaan,2076.3
RMH0265,115,79,3,2,2,2,8.4,Pedesaan,839.7
RMH0266,162,129,3,2,1,16,4.5,Pinggiran,1562.4
RMH0267,71,49,2,1,2,8,10.1,Pinggiran,694.8
RMH0268,242,117,3,2,1,9,4.3,Pinggiran,1737.7
RMH0269,195,102,4,3,2,8,30,Pinggiran,1374.6
RMH0270,153,88,3,2,1,1,10.1,Pedesaan,917.4
RMH0271,68,49,3,2,2,5,0.5,Perkotaan,1074.2
RMH0272,92,52,2,1,2,12,4.8,Perkotaan,1059.5
RMH0273,241,188,4,2,2,0,7.6,Pinggiran,2192.8
RMH0274,148,116,3,3,1,3,10.2,Pinggiran,1338.5
RMH0275,271,148,3,2,2,3,7.4,Pinggiran,2017.2
RMH0276,183,97,3,2,1,6,2.3,Pinggiran,1455.1
RMH0277,136,108,4,4,2,1,19.7,Pinggiran,1606.7
RMH0278,60,48,5,3,2,14,8.6,Pinggiran,924.4
RMH0279,60,33,3,2,1,8,12.7,Perkotaan,740.6
RMH0280,144,119,1,1,1,12,7.9,Pinggiran,1464.4
RMH0281,60,36,3,1,1,2,3.4,Perkotaan,867.9
RMH0282,281,164,2,1,1,9,0.3,Perkotaan,2621.2
RMH0283,166,83,2,2,1,0,19.0,Perkotaan,1560.4
RMH0284,116,82,4,2,2,2,2.8,Pedesaan,1027.3
RMH0285,186,106,4,3,1,9,7.3,Perkotaan,1899.7
RMH0286,155,84,3,2,2,35,3.3,Perkotaan,1517.2
RMH0287,212,157,3,1,1,17,0.9,Pinggiran,1794.3
RMH0288,113,96,4,2,2,5,7.7,Pinggiran,1304.0
RMH0289,192,139,4,3,1,1,8.4,Pinggiran,1549.0
RMH0290,270,155,4,2,2,7,5.6,Pinggiran,2102.6
RMH0291,100,71,1,1,1,6,8.3,Perkotaan,1373.4
RMH0292,200,166,2,1,2,6,22.8,Pedesaan,1252.3
RMH0293,184,146,3,2,1,9,8.6,Pedesaan,1196.3
RMH0294,137,65,3,1,2,6,5.9,Pinggiran,1106.9
RMH0295,60,29,4,3,2,3,2.2,Pinggiran,780.5
RMH0296,272,181,2,2,2,1,7.2,Pinggiran,2240.9
RMH0297,164,79,3,2,1,8,2.2,Pinggiran,1255.7
RMH0298,115,84,3,3,1,12,7.7,Perkotaan,1394.7
RMH0299,235,131,4,3,2,0,9.9,Perkotaan,2509.7
RMH0300,193,131,4,2,1,7,2.8,Perkotaan,2208.1
RMH0301,223,165,4,2,1,0,11.9,Perkotaan,2421.4
RMH0302,162,83,5,3,2,11,3.3,Perkotaan,1678.6
RMH0303,60,34,4,2,1,6,13.9,Perkotaan,939.8
RMH0304,60,50,4,2,2,3,4.8,Perkotaan,1101.6
RMH0305,178,102,4,3,1,7,4.1,Pinggiran,1536.7
RMH0306,292,220,3,2,1,3,11.0,Pedesaan,1753.6
RMH0307,154,110,3,2,2,1,4.5,Perkotaan,1826.2
RMH0308,151,128,3,3,2,6,7.2,Pinggiran,1472.2
RMH0309,179,87,3,1,2,1,5.0,Pinggiran,1422.8
RMH0310,139,77,2,2,2,3,1.9,Perkotaan,1681.4
RMH0311,186,127,5,2,1,5,3.1,Pinggiran,1709.1
RMH0312,139,80,3,1,2,14,7.2,Perkotaan,1522.6
RMH0313,182,89,2,1,1,6,6.8,Perkotaan,1726.0
RMH0314,149,91,1,1,1,13,0.9,Perkotaan,1594.8
RMH0315,246,124,1,1,1,8,6.2,Pinggiran,1669.2
RMH0316,278,128,5,3,1,19,10.6,Perkotaan,2531.5
RMH0317,225,116,3,2,2,4,0.3,Pinggiran,1726.8
RMH0318,193,101,3,1,2,2,2.1,Pinggiran,1673.0
RMH0319,126,71,3,1,1,17,4.5,Pinggiran,1080.5
RMH0320,60,51,3,2,1,20,4.2,Pinggiran,637.4
RMH0321,176,95,4,3,2,0,28.6,Pinggiran,1396.6
RMH0322,60,50,4,2,2,20,0.3,Pedesaan,635.9
RMH0323,176,135,5,3,2,15,1.2,Pinggiran,1722.9
RMH0324,60,49,5,4,2,7,1.3,Pedesaan,658.3
RMH0325,210,120,2,1,1,2,1.5,Pinggiran,1809.5
RMH0326,151,80,4,3,2,3,0.3,Pinggiran,1417.9
RMH0327,255,201,2,2,3,4,17.1,Pinggiran,2240.0
RMH0328,185,93,4,3,3,8,1.1,Pedesaan,1256.5
RMH0329,94,72,1,1,2,2,2.2,Pinggiran,1064.2
RMH0330,231,192,4,4,3,0,5.5,Pedesaan,1564.5
RMH0331,198,134,3,3,1,11,1.6,Pedesaan,1304.8
RMH0332,277,134,3,3,1,2,1.7,Perkotaan,2433.8
RMH0333,149,67,4,2,2,28,13.0,Pinggiran,987.0
RMH0334,211,104,1,1,2,1,0.5,Pedesaan,1120.7
RMH0335,133,110,4,2,1,4,7.9,Pinggiran,1375.0
RMH0336,132,91,2,1,3,1,13.2,Perkotaan,1474.1
RMH0337,188,99,3,2,2,10,1.8,Perkotaan,1897.6
RMH0338,172,117,3,2,1,3,6.5,Pinggiran,1447.2
RMH0339,155,80,3,2,1,15,2.2,Pinggiran,1078.5
RMH0340,157,76,2,2,1,5,1.8,Pinggiran,1191.0
RMH0341,158,75,4,3,2,1,2.5,Pinggiran,1423.5
RMH0342,133,89,4,2,1,16,3.9,Pedesaan,726.6
RMH0343,122,99,3,2,1,18,9.7,Pinggiran,1132.1
RMH0344,126,95,4,4,2,1,3.3,Pedesaan,1188.2
RMH0345,60,42,4,3,1,19,14.7,Perkotaan,807.6
RMH0346,196,114,3,3,2,8,4.4,Pinggiran,1681.7
RMH0347,116,79,3,2,3,21,5.0,Perkotaan,1382.4
RMH0348,234,137,2,1,2,0,1.9,Perkotaan,2389.3
RMH0349,66,31,2,2,1,2,8.2,Pedesaan,482.4
RMH0350,141,110,3,2,2,1,12.2,Perkotaan,1827.6
RMH0351,225,176,3,2,1,8,1.2,Perkotaan,2655.4
RMH0352,60,45,4,3,1,3,4.2,Perkotaan,908.6
RMH0353,236,109,1,1,2,15,1.7,Pinggiran,1699.9
RMH0354,96,54,4,3,1,0,2.8,Pinggiran,880.0
RMH0355,212,145,5,3,1,18,8.3,Pinggiran,1765.1
RMH0356,218,112,1,1,2,9,1.9,Pinggiran,1454.4
RMH0357,271,205,3,1,2,8,5.5,Perkotaan,2955.0
RMH0358,277,158,5,3,1,3,1.7,Pinggiran,2119.7
RMH0359,92,56,1,1,1,9,11.1,Pinggiran,711.8
RMH0360,73,42,3,3,2,16,1.8,Pinggiran,798.0
RMH0361,196,100,2,2,2,13,9.7,Pinggiran,1345.6
RMH0362,60,44,1,1,1,4,0.3,Pinggiran,425.8
RMH0363,109,81,3,2,1,12,14.2,Pinggiran,851.7
RMH0364,144,113,3,1,1,2,9.9,Pinggiran,1305.9
RMH0365,193,113,5,2,1,11,2.2,Pinggiran,1543.5
RMH0366,197,112,4,3,2,23,0.4,Pedesaan,1045.9
RMH0367,60,36,3,2,1,15,0.9,Perkotaan,773.3
RMH0368,199,162,2,2,2,5,6.0,Perkotaan,2378.0
RMH0369,145,81,3,2,1,12,4.0,Pinggiran,1292.2
RMH0370,201,141,1,1,1,2,2.8,Perkotaan,2296.4
RMH0371,92,48,5,4,2,2,7.1,Perkotaan,1320.0
RMH0372,200,137,4,2,1,10,5.4,Perkotaan,2350.5
RMH0373,325,191,1,1,1,2,17.7,Pedesaan,1580.3
RMH0374,179,133,4,3,1,4,6.3,Perkotaan,2247.3
RMH0375,188,125,2,1,3,9,6.4,Perkotaan,1986.7
RMH0376,82,49,2,1,2,8,2.1,Pinggiran,772.6
RMH0377,121,84,2,1,2,1,7.6,Perkotaan,1487.5
RMH0378,172,91,3,2,1,10,2.1,Perkotaan,1813.3
RMH0379,102,84,3,2,1,9,14.2,Pedesaan,716.7
RMH0380,115,56,1,1,1,2,26.9,Perkotaan,1046.2
RMH0381,119,62,3,1,1,13,2.2,Pinggiran,1106.8
RMH0382,216,101,4,2,1,5,5.8,Pedesaan,1020.4
RMH0383,257,134,4,2,3,3,2.9,Pedesaan,1432.5
RMH0384,60,46,4,2,3,1,3.2,Pinggiran,915.7
RMH0385,184,96,1,1,1,0,6.9,Pedesaan,1019.5
RMH0386,144,118,4,2,1,3,7.3,Pinggiran,1488.8
RMH0387,160,108,2,2,2,3,4.4,Pinggiran,1515.2
RMH0388,208,114,2,1,2,7,26.4,Perkotaan,2005.9
RMH0389,125,99,2,2,2,1,4.1,Perkotaan,1656.7
RMH0390,146,79,2,1,1,13,3.6,Pedesaan,741.9
RMH0391,117,76,3,2,1,4,4.9,Perkotaan,1524.4
RMH0392,202,141,3,2,2,24,2.7,Perkotaan,2286.0
RMH0393,163,110,4,3,1,9,7.6,Perkotaan,1882.1
RMH0394,101,59,4,2,1,10,0.3,Perkotaan,1061.5
RMH0395,221,163,4,2,2,2,16.0,Pinggiran,1753.4
RMH0396,183,135,4,3,2,7,8.9,Pinggiran,1723.9
RMH0397,60,30,1,1,1,0,16.4,Pedesaan,288.1
RMH0398,159,130,4,3,1,4,5.5,Pedesaan,1235.9
RMH0399,81,68,3,3,2,3,19.9,Pedesaan,609.3
RMH0400,161,99,2,1,2,16,7.5,Pedesaan,777.9
RMH0401,118,83,2,1,1,9,23.9,Pinggiran,1088.0
RMH0402,129,94,3,2,1,7,6.6,Pinggiran,1252.6
RMH0403,148,84,1,1,2,6,0.3,Perkotaan,1526.3
RMH0404,109,82,3,2,2,9,2.1,Pinggiran,1176.5
RMH0405,276,136,3,3,2,16,8.1,Pinggiran,1928.0
RMH0406,272,209,3,3,1,25,22.3,Perkotaan,2977.7
RMH0407,139,77,3,2,2,16,10.6,Pedesaan,769.6
